UID,Symbol,Name,Half-lives in LB,Half-lives in M9
B0001,thrL,thrL thr operon leader peptide ,9.4,3.5
B0002,thrA,"thrA aspartokinase I, homoserine dehydrogenase I ",4.5,2.9
B0003,thrB,thrB homoserine kinase ,3.7,3
B0004,thrC,thrC threonine synthase ,4.1,3.1
B0006,yaaA,"yaaA orf, hypothetical protein ",2.9,3.8
B0007,yaaJ,yaaJ inner membrane transport protein ,,8.3
B0008,talB,talB transaldolase B ,5.5,3.4
B0009,mog,mog required for the efficient incorporation of molybdate into molybdoproteins ,5.5,10.2
B0010,yaaH,"yaaH orf, hypothetical protein ",,5.3
B0011,B0011,B0011 putative oxidoreductase ,4.9,5.6
B0012,htgA,htgA positive regulator for sigma 32 heat shock promoters ,,6.9
B0013,yaaI,"yaaI orf, hypothetical protein ",9.9,6.1
B0014,dnaK,dnaK chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins ,2.8,2.4
B0015,dnaJ,dnaJ chaperone with DnaK; heat shock protein ,2.1,2.5
B0016,yi81_1,yi81_1 IS186 hypothetical protein ,2.1,3.8
B0017,yi82_1,yi82_1 IS186 and IS421 hypothetical protein ,3.5,3.6
B0018,gef,gef Gef protein interferes with membrane function when in excess ,3.4,8.3
B0019,nhaA,"nhaA Na+/H antiporter, pH dependent ",3.9,6.6
B0020,nhaR,nhaR transcriptional activator of nhaA ,,4.1
B0021,insB_1,insB_1 IS1 protein InsB ,,4.9
B0022,insA_1,insA_1 IS1 protein InsA ,,5.3
B0023,rpsT,rpsT 30S ribosomal subunit protein S20 ,2.1,2.4
B0025,ribF,ribF putative regulator ,,
B0026,ileS,ileS isoleucine tRNA synthetase ,2,2
B0027,lspA,lspA prolipoprotein signal peptidase (SPase II) ,4.3,3.8
B0030,yaaF,"yaaF orf, hypothetical protein ",,7.7
B0031,dapB,dapB dihydrodipicolinate reductase ,11.8,3.5
B0032,carA,"carA carbamoyl-phosphate synthetase, glutamine (small) subunit ",4.2,4.1
B0033,carB,carB carbamoyl-phosphate synthase large subunit ,,5.2
B0034,caiF,caiF transcriptional regulator of cai operon ,,10.1
B0035,caiE,caiE possible synthesis of cofactor for carnitine racemase and dehydratase ,7.1,11.9
B0036,caiD,caiD carnitine racemase ,,6.1
B0037,caiC,caiC probable crotonobetaine/carnitine-CoA ligase ,,5.3
B0038,caiB,caiB l-carnitine dehydratase ,9.2,5.8
B0039,caiA,caiA probable carnitine operon oxidoreductase ,14,5.7
B0040,caiT,caiT probable carnitine transporter ,,3.7
B0041,fixA,"fixA probable flavoprotein subunit, carnitine metabolism ",,4.6
B0042,fixB,"fixB probable flavoprotein subunit, carnitine metabolism ",,4.7
B0043,fixC,fixC flavoprotein; electron transport ,,11
B0044,fixX,fixX putative ferredoxin ,,4.6
B0045,yaaU,yaaU putative transport protein ,,8.1
B0046,yabF,yabF putative NAD(P)H oxidoreductase ,,6.9
B0047,kefC,"kefC K+ efflux antiporter, glutathione-regulated ",2.7,8.3
B0048,folA,folA dihydrofolate reductase type I; trimethoprim resistance ,2.9,6.2
B0049,apaH,apaH diadenosine tetraphosphatase ,2.7,3.6
B0050,apaG,"apaG orf, hypothetical protein ",4.6,2.9
B0051,ksgA,"ksgA S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase ",3.2,2.2
B0052,pdxA,pdxA pyridoxine biosynthesis ,,3.4
B0053,surA,surA survival protein ,,1.7
B0055,yabH,yabH putative DNA binding protein ,7.9,4
B0056,yabP,"yabP orf, hypothetical protein ",5.4,4.7
B0057,yabQ,"yabQ orf, hypothetical protein ",,7.2
B0058,yabO,"yabO orf, hypothetical protein ",5.8,4.5
B0060,polB,polB DNA polymerase II ,7.7,4.1
B0061,araD,araD L-ribulose-5-phosphate 4-epimerase ,,11.1
B0062,araA,araA L-arabinose isomerase ,7.3,5.4
B0063,araB,araB L-ribulokinase ,,10.6
B0064,araC,araC transcriptional regulator for ara operon ,8.6,4.9
B0065,yabI,"yabI orf, hypothetical protein ",6.1,6
B0066,yabJ,yabJ putative ATP-binding component of a transport system ,3.2,7.2
B0067,yabK,yabK putative transport system permease protein ,7.5,7.3
B0068,tbpA,tbpA thiamin-binding periplasmic protein ,4.2,9.9
B0069,yabN,yabN putative transport protein ,7.5,4.6
B0070,yabM,yabM putative transport protein ,,
B0071,leuD,leuD isopropylmalate isomerase subunit ,,2.9
B0072,leuC,leuC 3-isopropylmalate isomerase (dehydratase) subunit ,,2.1
B0073,leuB,leuB 3-isopropylmalate dehydrogenase ,,1.8
B0074,leuA,leuA 2-isopropylmalate synthase ,,1.8
B0075,leuL,leuL leu operon leader peptide ,3.8,7
B0076,leuO,leuO probable transcriptional activator for leuABCD operon ,,7
B0077,ilvI,"ilvI acetolactate synthase III, valine sensitive, large subunit ",,3.1
B0078,ilvH,"ilvH acetolactate synthase III, valine sensitive, small subunit ",,2.5
B0079,fruL,fruL fruR leader peptide ,,4.7
B0081,yabB,"yabB orf, hypothetical protein ",,3.2
B0082,yabC,yabC putative apolipoprotein ,2.6,4
B0084,ftsI,ftsI septum formation; penicillin-binding protein 3; peptidoglycan synthetase ,,5.9
B0085,murE,murE meso-diaminopimelate-adding enzyme ,1.9,3.8
B0086,murF,murF D-alanine:D-alanine-adding enzyme ,1.4,3
B0087,mraY,mraY phospho-N-acetylmuramoyl-pentapeptide transferase? ,,7.9
B0088,murD,murD UDP-N-acetylmuramoylalanine-D-glutamate ligase ,,
B0090,murG,murG UDP-N-acetylglucosamine:N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase ,,13.5
B0091,murC,"murC L-alanine adding enzyme, UDP-N-acetyl-muramate:alanine ligase ",,8.5
B0092,ddlB,"ddlB D-alanine-D-alanine ligase B, affects cell division ",,12.4
B0093,ftsQ,ftsQ cell division protein; ingrowth of wall at septum ,,22.9
B0094,ftsA,"ftsA ATP-binding cell division protein, septation process, complexes with FtsZ, associated with junctions of inner and outer membranes ",,
B0095,ftsZ,ftsZ cell division; forms circumferential ring; tubulin-like GTP-binding protein and GTPase ,,
B0096,lpxC,lpxC UDP-3-O-acyl N-acetylglucosamine deacetylase; lipid A biosynthesis ,,6.7
B0098,secA,secA preprotein translocase; secretion protein ,2.4,2.6
B0099,mutT,"mutT 7,8-dihydro-8-oxoguanine-triphosphatase, prefers dGTP, causes AT-GC transversions ",5.3,7.9
B0101,yacG,"yacG orf, hypothetical protein ",9.1,5.7
B0102,yacF,"yacF orf, hypothetical protein ",3.4,3.4
B0103,yacE,yacE putative DNA repair protein ,,3.2
B0104,guaC,guaC GMP reductase ,,8.4
B0106,hofC,"hofC putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake ",,6.7
B0107,hofB,"hofB putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake ",,
B0108,ppdD,ppdD prelipin peptidase dependent protein ,,6.5
B0109,nadC,nadC quinolinate phosphoribosyltransferase ,2.9,2.6
B0110,ampD,ampD regulates ampC ,4.1,4.3
B0111,ampE,ampE regulates ampC ,,3.9
B0112,aroP,aroP aromatic amino acid transport protein ,5.3,3.3
B0113,pdhR,pdhR transcriptional regulator for pyruvate dehydrogenase complex ,,4.4
B0114,aceE,aceE pyruvate dehydrogenase (decarboxylase component) ,,6.2
B0115,aceF,aceF pyruvate dehydrogenase (dihydrolipoyltransacetylase component) ,,9.9
