MONOMER0-562	GlcC-Glycolate DNA-binding transcriptional dual regulator		((GLYCOLLATE, 1) (G7546-MONOMER, 1))
MONOMER0-2461	MtlR-mannitol		((MANNITOL, 1) (PD00369, 1))
MONOMER0-1441	MhpR-3HPP DNA-binding transcriptional activator		((3-HYDROXYPHENYL-PROPIONATE, 1) (G6201-MONOMER, 1))
CPLX0-7680	Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor		((ZN+2, 4) (CPLX0-7679, 1) (EG11929-MONOMER, 2))
MONOMER-60	RbsR-ribose		((PD03867, 1) (RIBOSE, 1))
CPLX-125	TrpR-Tryptophan DNA-binding transcriptional repressor		((PC00007, 1) (PD00423, 2) (TRP, 1))
MONOMER0-2421	PrpR-2-methylcitrate DNA-binding transcriptional dual regulator		((CPD-622, 1) (G6195-MONOMER, 1))
CPLX0-7689	LldR-L-lactose DNA-binding transcriptional dual regulator		((L-LACTATE, 1) (EG11962-MONOMER, 1))
CPLX-128	Cra-fructose-1,6-bisphosphate		((FRUCTOSE-16-DIPHOSPHATE, 1) (PC00061, 1) (PD00521, 4))
MONOMER-57	IclR-PEP		((PHOSPHO-ENOL-PYRUVATE, 1) (PD04099, 1))
MONOMER-52	GalR-galactose		((GALACTOSE, 1) (PD03028, 1))
CPLX0-8062	CaiF-L-carnitine DNA-binding Transcriptional Activator		((CARNITINE, 1) (CPLX0-7666, 1) (G6088-MONOMER, 2))
MONOMER0-2201	AllR-glyox		((GLYOX, 1) (G6276-MONOMER, 1))
CPLX0-8059	DgsA-EII		((CPD0-2342, 1) (PD01896, 1))
CPLX0-7735	AsnC-L-asparagine		((ASN, 1) (CPLX0-7733, 1) (PD00250, 2))
CPLX0-8056	TreR-trehalose 6-phosphate		((TREHALOSE-6P, 1) (EG12202-MONOMER, 1))
MONOMER-53	GalS-galactose		((GALACTOSE, 1) (PD00261, 1))
MONOMER0-2081	HcaR-HCA DNA-binding transcriptional dual regulator		((3-PHENYLPROPIONATE, 1) (G7331-MONOMER, 1))
MONOMER-48	BirA-bio-5'-AMP DNA-binding transcriptional repressor	(CCO-CYTOSOL)	((BIO-5-AMP, 1) (BIOTINLIG-MONOMER, 1))
CPLX0-8055	AcrR-ethidium		((CPD0-1938, 1) (EG12116-MONOMER, 1))
CPLX0-8051	CytR-cytidine		((CYTIDINE, 1) (CPLX0-7740, 1) (PD04028, 2))
MONOMER-55	GntR-gluconate		((GLUCONATE, 1) (PD03585, 1))
MONOMER0-46	NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator		((NA+, 1) (PD00474, 1))
MONOMER0-2162	UlaR-L-ascorbate-6P		((L-ASCORBATE-6-PHOSPHATE, 1) (G7854-MONOMER, 1))
CPLX0-7681	XapR-xanthosine DNA-binding transcriptional activator		((XANTHOSINE, 1) (EG11146-MONOMER, 1))
CPLX0-8054	MurR-<i>N</i>-acetylmuramate 6-phosphate		((CPD0-881, 1) (CPLX0-7745, 1) (G7262-MONOMER, 4))
CPLX0-226	CRP-cAMP DNA-binding transcriptional dual regulator		((CAMP, 1) (PC00004, 1) (PD00257, 2))
CPLX-127	Cra-fructose-1-phosphate		((FRU1P, 1) (PC00061, 1) (PD00521, 4))
CPLX0-8048	Dan-L-tartrate DNA-binding transcriptional activator		((TARTRATE, 1) (EG12694-MONOMER, 1))
CPLX-123	PurR-Hypoxanthine DNA-binding transcriptional repressor		((HYPOXANTHINE, 1) (PC00033, 1) (PD00219, 2))
CPLX0-7750	LsrR-P-DPD		((CPD-10551, 1) (G6799-MONOMER, 1))
CPLX0-8047	NsrR-nitric oxide		((NITRIC-OXIDE, 1) (CPLX0-7756, 1) (EG11212-MONOMER, 2))
CPLX0-7670	ArgP-lysine		((LYS, 1) (CPLX0-7669, 1) (EG10490-MONOMER, 2))
CPLX0-7620	Fur-Fe+2		((FE+2, 1) (PD00260, 1))
CPLX0-7752	MetR-L-homocysteine		((HOMO-CYS, 1) (CPLX0-7759, 1) (PD03938, 2))
MONOMER0-2261	NagC-NAcGlc-6-P		((N-ACETYL-D-GLUCOSAMINE-6-P, 1) (PD00266, 1))
CPLX0-7677	ZntR-Zn<sup>2+</sup> transcriptional activator		((ZN+2, 1) (EG11969-MONOMER, 1))
MONOMER0-2101	UxuR-fructuronate		((EG20249-MONOMER, 1) (FRUCTURONATE, 1))
CPLX0-7742	MprA-2,4-dinitrophenol		((CPD-8179, 1) (EG10603-MONOMER, 1))
MONOMER-54	GlpR-glycerol-3-phosphate		((GLYCEROL-3P, 1) (PD03576, 1))
MONOMER0-2221	AllS-allantoin DNA-binding transcriptional activator		((S-ALLANTOIN, 1) (G6274-MONOMER, 1))
MONOMER-2720	Cbl-APS		((APS, 1) (G7071-MONOMER, 1))
MONOMER0-2341	NanR-NANA		((G7678-MONOMER, 1) (N-ACETYLNEURAMINATE, 1))
MONOMER-47	RhaR-L-rhamnose DNA-binding transcriptional activator		((RHAMNOSE, 1) (PD00222, 1))
MONOMER0-161	MelR-Melibiose transcriptional activator		((MELIBIOSE, 1) (PD00208, 1))
