(1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	EG12438-MONOMER					(menH)	(EG12438)	
(3R)-3-hydroxyoctanoyl-ACP	3R-3-HYDROXYOCTANOYL-ACP	(apo-[acyl carrier protein])	(EG50003-MONOMER)			(acpP)	(EG50003)	
(d)CMP kinase	CMPKI-MONOMER					(cmk)	(EG11265)	((cytosol, CCO-CYTOSOL))
(R)-lactate / (S)-lactate / glycolate:H+ symporter LldP	LCTP-MONOMER					(lldP)	(EG11961)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
[protein-PII] uridylyltransferase	GLND-MONOMER					(glnD)	(EG11411)	((cytosol, CCO-CYTOSOL))
&alpha; cleavage product of IaaA	MONOMER0-2	(IaaA)	(EG12407-MONOMER)			(iaaA)	(EG12407)	
&alpha; cleavage product of SpeD	SAMDC-ALPHA-MONOMER	(adenosylmethionine decarboxylase, proenzyme)	(SPED-MONOMER)			(speD)	(EG10962)	
&alpha; complex	ATOD-CPLX							
&alpha; subunit complex	TTDA-CPLX							
&alpha;-amylase	ALPHA-AMYL-PERI-MONOMER					(malS)	(EG11316)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
&alpha;-amylase	ALPHA-AMYL-CYTO-MONOMER					(amyA)	(EG11387)	((cytosol, CCO-CYTOSOL))
&alpha;-D-glucose-1-phosphatase	EG11850-MONOMER					(yihX)	(EG11850)	
&alpha;-D-xyloside xylohydrolase	CPLX0-3901							
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase	CPLX0-7615							
&alpha;-galactosidase	ALPHAGALACTOSID-CPLX							((cytosol, CCO-CYTOSOL))
&alpha;-galactosidase monomer	ALPHAGALACTOSID-MONOMER					(melA)	(EG10577)	((cytosol, CCO-CYTOSOL))
&alpha;-glucosidase	EG11843-MONOMER					(yihQ)	(EG11843)	
&alpha;-ketoglutarate reductase / D-3-phosphoglycerate dehydrogenase	PGLYCDEHYDROG-CPLX							
&alpha;-ketoglutarate:H<sup>+</sup> symporter	KGTP-MONOMER					(kgtP)	(EG10522)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
&alpha;-macroglobulin	G7323-MONOMER					(yfhM)	(G7323)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
&alpha;-mannosidase	EG13236-MONOMER					(mngB)	(EG13236)	
&alpha;-xylosidase	EG11685-MONOMER					(yicI)	(EG11685)	
&beta; cleavage product of IaaA	MONOMER0-3	(IaaA)	(EG12407-MONOMER)			(iaaA)	(EG12407)	
&beta; cleavage product of SpeD	SAMDC-BETA-MONOMER	(adenosylmethionine decarboxylase, proenzyme)	(SPED-MONOMER)			(speD)	(EG10962)	
&beta; complex	ATOA-CPLX							
&beta; subunit complex	TTDB-CPLX							
&beta;-1,6-galactofuranosyltransferase	EG11983-MONOMER					(wbbI)	(EG11983)	((cytosol, CCO-CYTOSOL))
&beta;-D-glucoside glucohydrolase, periplasmic	EG12013-MONOMER					(bglX)	(EG12013)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
&beta;-D-glucuronidase	BETA-GLUCURONID-MONOMER					(uidA)	(EG11055)	
&beta;-D-glucuronidase	CPLX0-7662							
&beta;-galactosidase	BETAGALACTOSID-CPLX							
&beta;-galactosidase monomer	BETAGALACTOSID-MONOMER					(lacZ)	(EG10527)	((cytosol, CCO-CYTOSOL))
&beta;-glucoside PTS permease AscF - cryptic	CPLX-153							
&beta;-glucoside PTS permease BglF - cryptic	CPLX-154							
&beta;-hydroxy-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP	BETA-HYDROXY-CIS-DELTA5-DODECENOYL-ACP	(apo-[acyl carrier protein])	(EG50003-MONOMER)			(acpP)	(EG50003)	
&beta;-keto-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP	BETA-KETO-CIS-DELTA5-DODECENOYL-ACP	(apo-[acyl carrier protein])	(EG50003-MONOMER)			(acpP)	(EG50003)	
&beta;-ketoadipyl-CoA thiolase	G6718-MONOMER					(paaJ)	(G6718)	
&beta;-lactam resistance protein	MONOMER0-1561					(blr)	(G0-9561)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
&beta;-lactamase; penicillin resistance	EG10040-MONOMER					(ampC)	(EG10040)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
&beta;-N-acetylhexosaminidase	G6567-MONOMER					(nagZ)	(G6567)	((cytosol, CCO-CYTOSOL))
&beta;-phosphoglucomutase	G6655-MONOMER					(ycjU)	(G6655)	((cytosol, CCO-CYTOSOL))
&gamma;-aminobutyraldehyde dehydrogenase	G6755-MONOMER					(patD)	(G6755)	
&gamma;-aminobutyraldehyde dehydrogenase	CPLX0-3641							
&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	CARNDEHYDRA-CPLX							
&gamma;-glutamate-cysteine ligase	GLUTCYSLIG-MONOMER					(gshA)	(EG10418)	
&gamma;-glutamyl kinase	GLUTKIN-CPLX							
&gamma;-glutamyl kinase-GP-reductase multienzyme complex	PROLINEMULTI-CPLX							
&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	ALDHDEHYDROG-MONOMER					(puuC)	(EG10036)	((cytosol, CCO-CYTOSOL))
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase	G6645-MONOMER					(puuD)	(G6645)	
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase	CPLX0-3943							
&gamma;-glutamylputrescine oxidase	EG11822-MONOMER					(puuB)	(EG11822)	
&gamma;-glutamyltranspeptidase	EG10374-MONOMER			(&gamma;-glutamyltranspeptidase, large subunit &gamma;-glutamyltranspeptidase, small subunit)	(MONOMER0-4196 MONOMER0-4195)	(ggt)	(EG10374)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
&gamma;-glutamyltranspeptidase	CPLX0-7885							((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
&gamma;-glutamyltranspeptidase, large subunit	MONOMER0-4196	(&gamma;-glutamyltranspeptidase)	(EG10374-MONOMER)			(ggt)	(EG10374)	
&gamma;-glutamyltranspeptidase, small subunit	MONOMER0-4195	(&gamma;-glutamyltranspeptidase)	(EG10374-MONOMER)			(ggt)	(EG10374)	
<i>D</i>-glucarate dehydratase	GLUCARDEHYDRA-MONOMER					(gudD)	(G7445)	
<i>E. coli</i> common pilus - major subunit; cryptic	G6164-MONOMER					(ecpA)	(G6164)	
<i>E. coli</i> common pilus chaperone - cryptic	G6160-MONOMER					(ecpE)	(G6160)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
<i>E. coli</i> common pilus chaperone - cryptic	G6163-MONOMER					(ecpB)	(G6163)	
<I>Eco</I>KI restriction-modification system	CPLX0-3958							
<I>N</I>-acetyl-D-galactosamine PTS transporter	CPLX0-7610							
<i>N</i>-acetylmannosamine kinase	NANK-MONOMER					(nanK)	(G7676)	((cytosol, CCO-CYTOSOL))
<i>N</i>-acetylmuramic acid 6-phosphate etherase	G7263-MONOMER					(murQ)	(G7263)	
<i>N</i>-acetylmuramic acid 6-phosphate etherase	CPLX0-7732							
<i>N</i>-acetylneuraminate mutarotase	G7920-MONOMER					(nanM)	(G7920)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
<i>N</i>-acetylneuraminate mutarotase	CPLX0-7658							
<I>N</I>-methyltryptophan oxidase	SARCOX-MONOMER					(solA)	(G6556)	
<i>N</i>-succinyl-L-diaminopimelate desuccinylase	CPLX0-3161							
<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit	MONOMER0-1981					(dapE)	(EG10208)	
<i>N</i>-succinyldiaminopimelate-aminotransferase / acetylornithine transaminase	ACETYLORNTRANSAM-CPLX							
<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase	PURK-CPLX							
<i>N</i><sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	PURE-CPLX							
<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	G6550-MONOMER					(ymdB)	(G6550)	
<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	CPLX0-7758							
<i>O</i>-antigen flippase	RFBX-MONOMER					(rfbX)	(EG11980)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
<i>o</i>-succinylbenzoate synthase	O-SUCCINYLBENZOATE-COA-SYN-MONOMER					(menC)	(EG11532)	
<i>o</i>-succinylbenzoate-CoA ligase	MENE-CPLX							
<i>p</i>-aminobenzoyl-glutamate hydrolase	CPLX0-7844							
<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A	G6670-MONOMER					(abgA)	(G6670)	((cytosol, CCO-CYTOSOL))
<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B	G6669-MONOMER					(abgB)	(G6669)	((cytosol, CCO-CYTOSOL))
<i>para</i>-aminobenzoate synthase multi-enzyme complex	PABSYNMULTI-CPLX							
<i>S</i>-formylglutathione hydrolase	G6208-MONOMER					(frmB)	(G6208)	
<i>S</i>-lactoylglutathione hydrolase / <i>S</i>-formylglutathione hydrolase	CPLX0-3954							
<i>S</i>-ribosylhomocysteine lyase	EG12712-MONOMER					(luxS)	(EG12712)	
<i>S</i>-ureidoglycine aminohydrolase	G6284-MONOMER					(allE)	(G6284)	
<i>trans</i>-aconitate 2-methyltransferase	G6806-MONOMER					(tam)	(G6806)	((cytosol, CCO-CYTOSOL))
1-acylglycerol-3-phosphate O-acyltransferase	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER					(plsC)	(EG11377)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
1-deoxy-D-xylulose 5-phosphate reductoisomerase	DXPREDISOM-CPLX							
1-deoxyxylulose-5-phosphate synthase	CPLX0-743							
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	EG11081-MONOMER					(ispH)	(EG11081)	
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	CPLX0-7564							
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	EG10370-MONOMER					(ispG)	(EG10370)	
1-phosphofructokinase	1-PFK							
1-phosphofructokinase monomer	1-PFK-MONOMER					(fruK)	(EG10337)	
1,4-&alpha;-glucan branching enzyme	GLYCOGEN-BRANCH-MONOMER					(glgB)	(EG10378)	((cytosol, CCO-CYTOSOL))
1,4-dihydroxy-2-naphthoate octaprenyltransferase	DMK-MONOMER					(menA)	(EG11880)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
1,4-dihydroxy-2-naphthoyl-CoA synthase	CPLX0-7882							
10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase	EG11268-MONOMER					(fmt)	(EG11268)	((cytosol, CCO-CYTOSOL))
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase	G7641-MONOMER					(rsmI)	(G7641)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>2</sup>G1207 methyltransferase	G7950-MONOMER					(rsmC)	(G7950)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>2</sup>G1516 methyltransferase	EG12233-MONOMER					(rsmJ)	(EG12233)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>2</sup>G966 methyltransferase	EG10343-MONOMER					(rsmD)	(EG10343)	
16S rRNA m<sup>3</sup>U1498 methyltransferase	CPLX0-7727							
16S rRNA m<sup>3</sup>U1498 methyltransferase monomer	EG12366-MONOMER					(rsmE)	(EG12366)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>4</sup>C1402 methyltransferase	EG11085-MONOMER					(rsmH)	(EG11085)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>4</sup>C1402 methyltransferase	CPLX0-7977							
16S rRNA m<sup>5</sup>C1407 methyltransferase	G7008-MONOMER					(rsmF)	(G7008)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>5</sup>C967 methyltransferase	EG12163-MONOMER					(rsmB)	(EG12163)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase	EG10523-MONOMER					(rsmA)	(EG10523)	((cytosol, CCO-CYTOSOL))
16S rRNA m<sup>7</sup>G527 methyltransferase	EG10376-MONOMER					(rsmG)	(EG10376)	((cytosol, CCO-CYTOSOL))
16S rRNA pseudouridine 516 synthase	EG12044-MONOMER					(rsuA)	(EG12044)	((cytosol, CCO-CYTOSOL))
2-<I>O</I>-&alpha;-mannosyl-D-glycerate PTS permease	CPLX-163							
2-acylglycerophosphoethanolamine acyltransferase / acyl-ACP synthetase	AAS-MONOMER					(aas)	(EG11679)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2-amino-3-ketobutyrate CoA ligase	AKBLIG-CPLX							
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase monomer	EG11816-MONOMER					(ispF)	(EG11816)	
2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter	KDGT-MONOMER					(kdgT)	(EG11869)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2-dehydro-3-deoxygalactonate kinase	DEHYDDEOXGALACTKIN-MONOMER					(dgoK)	(EG20051)	
2-dehydro-3-deoxyphosphoheptonate aldolase	AROG-CPLX							
2-dehydro-3-deoxyphosphoheptonate aldolase	AROF-CPLX							
2-dehydro-3-deoxyphosphoheptonate aldolase	AROH-CPLX							
2-dehydropantoate 2-reductase	2-DEHYDROPANTOATE-REDUCT-MONOMER					(panE)	(G6239)	((cytosol, CCO-CYTOSOL))
2-dehydropantoyl-lactone reductase (B-specific)	DEHYDROPANTLACRED-MONOMER							
2-deoxy-D-gluconate 3-dehydrogenase	KDUD-MONOMER					(kduD)	(EG12361)	
2-deoxyglucose-6-phosphatase	G6932-MONOMER					(yniC)	(G6932)	
2-hexadecenoyl-ACP	2-HEXADECENOYL-ACP	(apo-[acyl carrier protein])	(EG50003-MONOMER)			(acpP)	(EG50003)	
2-hydroxy-6-ketonona-2,4-dienedioate hydrolase	MHPCHYDROL-MONOMER					(mhpC)	(M012)	((cytosol, CCO-CYTOSOL))
2-hydroxy-6-oxononatrienedioate hydrolase	CPLX0-7950							
2-hydroxyglutarate synthase	HYDGLUTSYN-MONOMER							
2-hydroxypentadienoate hydratase	CPLX0-7951							
2-isopropylmalate synthase	2-ISOPROPYLMALATESYN-MONOMER					(leuA)	(EG11226)	((cytosol, CCO-CYTOSOL))
2-keto-3-deoxy-L-rhamnonate aldolase	G7158-MONOMER					(yfaU)	(G7158)	((cytosol, CCO-CYTOSOL))
2-keto-3-deoxy-L-rhamnonate aldolase	CPLX0-7723							
2-keto-3-deoxygluconokinase	DEOXYGLUCONOKIN-MONOMER					(kdgK)	(EG12253)	
2-ketobutyrate formate-lyase / pyruvate formate-lyase 4	KETOBUTFORMLY-MONOMER	(2-ketobutyrate formate-lyase/pyruvate formate-lyase 4, inactive)	(KETOBUTFORMLY-INACT-MONOMER)			(tdcE)	(G7627)	
2-ketobutyrate formate-lyase/pyruvate formate-lyase 4, inactive	KETOBUTFORMLY-INACT-MONOMER			(2-ketobutyrate formate-lyase / pyruvate formate-lyase 4)	(KETOBUTFORMLY-MONOMER)	(tdcE)	(G7627)	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
2-methylcitrate dehydratase	G6199-MONOMER					(prpD)	(G6199)	
2-methylcitrate synthase	G6198-MONOMER					(prpC)	(G6198)	((cytosol, CCO-CYTOSOL))
2-methylcitrate synthase	CPLX0-251							
2-methylisocitrate lyase	G6196-MONOMER					(prpB)	(G6196)	((cytosol, CCO-CYTOSOL))
2-methylisocitrate lyase	CPLX0-1021							
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON					(ubiF)	(G6365)	
2-octaprenyl-6-methoxyphenol hydroxylase	OCTAPRENYL-METHOXYPHENOL-OH-MONOMER					(ubiH)	(EG11324)	
2-octaprenylphenol hydroxylase	2-OCTAPRENYLPHENOL-HYDROX-MONOMER					(ubiB)	(EG11476)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2-octenoyl-ACP	MONOMER-4565	(apo-[acyl carrier protein])	(EG50003-MONOMER)			(acpP)	(EG50003)	
2-oxo-3-deoxygalactonate 6-phosphate aldolase	DEHYDDEOXPHOSGALACT-ALDOL-MONOMER					(dgoA)	(EG20049)	
2-oxoglutarate decarboxylase, thiamine-requiring	E1O							
2-oxoglutarate dehydrogenase complex	2OXOGLUTARATEDEH-CPLX							
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	CPLX0-7525							
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	PHOSGLYCMUTASE							
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase monomer	GPMA-MONOMER					(gpmA)	(EG11699)	((cytosol, CCO-CYTOSOL))
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	PGMI-MONOMER					(gpmM)	(EG12296)	((cytosol, CCO-CYTOSOL))
2,3-diaminopropionate ammonia-lyase	G7490-MONOMER					(ygeX)	(G7490)	
2,3-diaminopropionate ammonia-lyase	CPLX0-1401							
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	ENTA-CPLX							
2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	PHENPRODIOLDEHYDROG-MONOMER					(hcaB)	(G7335)	
2,3-dihydroxybenzoate-AMP ligase	ENTE-CPLX							((cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
2,3-dihydroxyphenylpropionate 1,2-dioxygenase	DHPDIOXYGEN-CPLX							
2,3-diketo-L-gulonate reductase	CPLX0-2061							
2,3-diketo-L-gulonate reductase monomer	EG12279-MONOMER					(yiaK)	(EG12279)	((cytosol, CCO-CYTOSOL))
2,3-diketo-L-gulonate:Na<sup>+</sup> symporter	TRANS-CPLX-203							
2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit	EG12282-MONOMER					(yiaN)	(EG12282)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit	MONOMER0-422					(yiaM)	(EG12281)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein	EG12283-MONOMER					(yiaO)	(EG12283)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
2,4-dienoyl-CoA reductase	DIENOYLCOAREDUCT-MONOMER					(fadH)	(G36)	
2'-5' RNA ligase	EG12330-MONOMER					(ligT)	(EG12330)	
2',3'-cyclic AMP 3'-nucleohydrolase [multifunctional]	CPDB-MONOMER					(cpdB)	(EG10160)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase	EG11794-MONOMER					(rlmM)	(EG11794)	((cytosol, CCO-CYTOSOL))
23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	CPLX0-1121							
23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase monomer	G7845-MONOMER					(rlmB)	(G7845)	((cytosol, CCO-CYTOSOL))
23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase	EG11507-MONOMER					(rlmE)	(EG11507)	((cytosol, CCO-CYTOSOL))
23S rRNA and tRNA pseudouridine synthase	EG12609-MONOMER					(rluA)	(EG12609)	
23S rRNA m<sup>1</sup>G745 methyltransferase	EG12207-MONOMER					(rlmA)	(EG12207)	((cytosol, CCO-CYTOSOL))
23S rRNA m<sup>2</sup>A2503 methyltransferase and tRNA m<sup>2</sup>A37 methyltransferase	EG12401-MONOMER					(rlmN)	(EG12401)	((cytosol, CCO-CYTOSOL))
23S rRNA m<sup>2</sup>G1835 methyltransferase	G7603-MONOMER					(rlmG)	(G7603)	((cytosol, CCO-CYTOSOL))
23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	EG11254-MONOMER					(rlmH)	(EG11254)	((cytosol, CCO-CYTOSOL))
23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	CPLX0-7423							
23S rRNA m<sup>5</sup>C1962 methyltransferase	CPLX0-7726							
23S rRNA m<sup>5</sup>C1962 methyltransferase monomer	G6501-MONOMER					(rlmI)	(G6501)	((cytosol, CCO-CYTOSOL))
23S rRNA m<sup>5</sup>U1939 methyltransferase	EG11247-MONOMER					(rlmD)	(EG11247)	
23S rRNA m<sup>5</sup>U747 methyltransferase	G6449-MONOMER					(rlmC)	(G6449)	
23S rRNA m<sup>6</sup>A1618 methyltransferase	G6416-MONOMER					(rlmF)	(G6416)	((cytosol, CCO-CYTOSOL))
23S rRNA m<sup>6</sup>A2030 methyltransferase	EG12234-MONOMER					(rlmJ)	(EG12234)	
23S rRNA pseudouridine 2457 synthase	G6581-MONOMER					(rluE)	(G6581)	
23S rRNA pseudouridine 2604 synthase	EG11921-MONOMER					(rluF)	(EG11921)	
23S rRNA pseudouridine 2605 synthase	EG12433-MONOMER					(rluB)	(EG12433)	
23S rRNA pseudouridine synthase	EG11118-MONOMER					(rluC)	(EG11118)	((cytosol, CCO-CYTOSOL))
23S rRNA pseudouridine synthase	EG12098-MONOMER					(rluD)	(EG12098)	((cytosol, CCO-CYTOSOL))
2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	CPLX0-721							
