EG10001	alr	4263805	4264884	0	((ALARACEBIOSYN-MONOMER, alanine racemase 1, PLP-binding, biosynthetic))	(TU0-14670 TU0-14120)
EG10002	modB	795085	795774	0	((MODB-MONOMER, molybdate ABC transporter - membrane subunit))	(TU0-14276 TU00301)
EG10003	cysZ	2529485	2530246	0	((EG10003-MONOMER, predicted inner membrane protein))	(TU0-13622)
EG10004	dfp	3810754	3811974	0	((EG10004-MONOMER, Dfp))	(TU0-14356)
EG10006	dcuB	4345427	4346767	-0	((DCUB-MONOMER, dicarboxylate transporter DcuB))	(TU0-4562 TU00468)
EG10007	hisM	2422539	2423255	-0	((HISM-MONOMER, lysine/arginine/ornithine ABC transporter / histidine ABC transporter - membrane subunit))	(TU0-14415 TU0-3581)
EG10008	zraS	4199949	4201346	0	((PHOSPHO-HYDH, ZraS sensory histidine kinase - phosphorylated) (HYDH-MONOMER, ZraS sensory histidine kinase))	(TU783)
EG10010	rhsE	1525914	1527962	0	((EG10010-MONOMER, RhsE protein in rhs element))	(TU0-13276)
EG10011	yaaA	5683	6459	-0	((EG10011-MONOMER, protein that reduces intracellular iron levels under peroxide stress))	(TU0-41428 TU0-12788)
EG10012	cydC	926697	928418	-0	((CYDC-MONOMER, glutathione / L-cysteine efflux transporter - CydC subunit))	(TU0-41613 TU00254)
EG10013	yebA	1938337	1939659	-0	((EG10013-MONOMER, murein DD-endopeptidase YebA))	(TU0-41883 TU0-41882 TU0-14369)
EG10014	acrD	2585617	2588730	0	((ACRD-MONOMER, AcrAD-TolC multidrug efflux transport system - permease subunit))	(TU0-14793 TU0-8021)
EG10015	rodZ	2639853	2640866	-0	((EG10015-MONOMER, transmembrane component of cytoskeleton))	(TU0-42034 TU0-14347)
EG10016	garL	3270809	3271579	-0	((KDGALDOL-MONOMER, GarL))	(TU482)
EG10017	ispB	3331732	3332703	0	((OPPSYN-MONOMER, IspB))	(TU0-13885)
EG10018	csrD	3399414	3401354	-0	((EG10018-MONOMER, regulator of CsrB and CsrC decay))	(TU0-13904)
EG10020	cpxR	4102995	4103693	-0	((PHOSPHO-CPXR, CpxR-Phosphorylated) (CPXR-MONOMER, CpxR transcriptional dual regulator))	(TU0-3)
EG10021	yjiA	4585932	4586888	-0	((EG10021-MONOMER, P-loop guanosine triphosphatase))	(TU0-42435 TU0-42434 TU0-14208)
EG10022	aceA	4215132	4216436	0	((ISOCIT-LYASE-MONOMER, isocitrate lyase monomer))	(TU00001)
EG10023	aceB	4213501	4215102	0	((MALATE-SYNTHASE, malate synthase A))	(TU00001)
EG10024	aceE	123017	125680	0	((E1P-MONOMER, subunit of E1p component of pyruvate dehydrogenase complex))	(TU0-6634 TU00522)
EG10025	aceF	125695	127587	0	((ACEF-S-ACETYLDIHYDROLIPOATE, AceF-S-acetyldihydrolipoate) (ACEF-LIPOATE, AceF-lipoate) (E2P-MONOMER, AceF))	(TU0-6634 TU00522)
EG10026	aceK	4216619	4218355	0	((ICITDEHASE-KIN-PHOSPHA, AceK))	(TU0-14503 TU00001)
EG10027	ackA	2411492	2412694	0	((ACETATEKINA-MONOMER, acetate kinase))	(TU0-8301 TU00385)
EG10028	pflA	949563	950303	-0	((PFLACTENZ-MONOMER, pyruvate formate-lyase activating enzyme))	(TU0-13083)
EG10029	ada	2307363	2308427	-0	((PD00230, Ada DNA-binding transcriptional dual regulator))	(TU00072)
EG10030	add	1700257	1701258	0	((ADENODEAMIN-MONOMER, adenosine deaminase))	(TU0-13350)
