23S rRNA m<sup>5</sup>U1939 methyltransferase	EG11247-MONOMER	
PhoE	MONOMER0-282	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
conserved protein	G6888-MONOMER	
thiamin kinase	THIKIN-MONOMER	
frv operon protein	EG11862-MONOMER	
1-acylglycerol-3-phosphate O-acyltransferase	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
protein involved in utilization of DNA as a carbon source	G7739-MONOMER	
curlin, minor subunit precursor	G6547-MONOMER	((pilus, CCO-PILUS) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
conserved inner membrane protein	EG11914-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved protein	EG11964-MONOMER	((cytosol, CCO-CYTOSOL))
IclR transcriptional repressor	PD04099	((cytosol, CCO-CYTOSOL))
conserved protein	EG12005-MONOMER	
DNA gyrase inhibitor	EG11892-MONOMER	((cytosol, CCO-CYTOSOL))
hydroxylated, aromatic carboxylic acid efflux transporter - putative membrane subunit	G7685-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
stationary phase inducible protein	G7329-MONOMER	
GlrK sensory histidine kinase - phosphorylated	MONOMER0-4141	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted inner membrane protein	G6579-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
entericidin A, antidote to lipoprotein entericidin B	MONOMER0-1562	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
site-specific recombinase	EG11071-MONOMER	((cytosol, CCO-CYTOSOL))
<i>N</i>-acetylmannosamine kinase	NANK-MONOMER	((cytosol, CCO-CYTOSOL))
<i>E. coli</i> common pilus - major subunit; cryptic	G6164-MONOMER	
inner membrane protein associated with lipopolysaccharide transport	EG12248-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
protein that protects iron-sulfur proteins against oxidative damage	G7532-MONOMER	
predicted inner membrane protein	EG11765-MONOMER	
predicted elongation factor	EG11484-MONOMER	
F<sup>-</sup> efflux transporter /  involved in resistance to camphor-induced chromosome decondensation	EG12209-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	MONOMER0-2697	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
RNA polymerase, &alpha; subunit	EG10893-MONOMER	((cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
tRNA-guanine transglycosylase monomer	EG10996-MONOMER	((cytosol, CCO-CYTOSOL))
IS3 element protein InsE	G6534-MONOMER	
hydrogenase 1, small subunit	HYAA-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted regulator	G6384-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
methylglyoxal reductase (NADPH-dependent)	METHYLGLYREDUCT-MONOMER	
UDP-N-acetyl-D-mannosaminuronic acid transferase	UDPMANACATRANS-MONOMER	
FabH	FABH-MONOMER	((cytosol, CCO-CYTOSOL))
protein kinase	G6969-MONOMER	
small toxic polypeptide LdrB	MONOMER0-1602	
urate:H<sup>+</sup> symporter	YGFU-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
IS3 element transposase	MONOMER0-4246	
PhnF predicted transcriptional regulator	EG10715-MONOMER	
tRNA-dihydrouridine synthase A	EG11932-MONOMER	
c-di-GMP binding protein involved in biofilm dispersal	G7880-MONOMER	
30S ribosomal subunit protein S12	EG10911-MONOMER	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
outer membrane metallopeptidase	EG11291-MONOMER	((outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
L,D-transpeptidase YcbB	EG11253-MONOMER	((membrane, CCO-MEMBRANE))
acidic protein that suppresses mutants lacking function of protein export	EG11338-MONOMER	
50S ribosomal subunit protein L3	EG10866-MONOMER	((ribosome, CCO-RIBOSOME))
ClpX	EG10159-MONOMER	((cytosol, CCO-CYTOSOL))
