"Object ID"	"Polypeptides"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"G6805-MONOMER"	G6805-MONOMER	"LsrG" // "YneC" // "phospho-AI-2 isomerase"	11.255
"LCTP-MONOMER"	LCTP-MONOMER	"Lct" // "LctP" // "LldP"	59.168
"G6284-MONOMER"	G6284-MONOMER	"UghY" // "AllE" // "YlbA"	28.73
"GLYCOGEN-BRANCH-MONOMER"	GLYCOGEN-BRANCH-MONOMER	"GlgB"	84.337 // 85.0
"DMK-MONOMER"	DMK-MONOMER	"YiiW" // "MenA"	33.594
"G6912-MONOMER"	G6912-MONOMER	"MenI" // "YdiI"	14.945
"NAPHTHOATE-SYN-MONOMER"	NAPHTHOATE-SYN-MONOMER	"MenB"	31.633
"EG10041-MONOMER"	EG10041-MONOMER	"AmpD"	20.536
"PRIBFAICARPISOM-MONOMER"	PRIBFAICARPISOM-MONOMER	"HisA"	26.033
"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER"	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	"ParF" // "PlsC" // "LPAAT"	27.453 // 25.0
"DXPREDISOM-MONOMER"	DXPREDISOM-MONOMER	"YaeM" // "IspC" // "Dxr"	43.388 // 42.0
"THIG-MONOMER"	THIG-MONOMER	"ThiB" // "ThiG"	26.896 // 26.9
"DXS-MONOMER"	DXS-MONOMER	"YajP" // "Dxs"	67.617 // 65.0
"G6236-MONOMER"	G6236-MONOMER	"YajO"	36.42
"EG11081-MONOMER"	EG11081-MONOMER	"YaaE" // "LytB" // "IspH"	34.775
"EG10370-MONOMER"	EG10370-MONOMER	"GcpE" // "IspG"	40.684 // 40.0
"1-PFK-MONOMER"	1-PFK-MONOMER	"Fpk" // "FruF" // "FruK"	33.756 // 34.0
"EG11268-MONOMER"	EG11268-MONOMER	"Ftm" // "YhdD" // "Fmt"	34.168 // 32.0
"G7641-MONOMER"	G7641-MONOMER	"RsmI" // "YraL" // "ribosomal RNA small subunit methyltransferase I"	31.348
"G7950-MONOMER"	G7950-MONOMER	"YjjT" // "RsmC" // "ribosomal RNA small subunit methyltransferase C"	37.625 // 37.0
"EG12233-MONOMER"	EG12233-MONOMER	"RsmJ" // "YhiQ"	26.949
"EG10343-MONOMER"	EG10343-MONOMER	"YhhF" // "RsmD"	21.678
"EG12366-MONOMER"	EG12366-MONOMER	"YggJ" // "RsmE"	26.978
"EG11085-MONOMER"	EG11085-MONOMER	"RsmH" // "YabC" // "MraW"	34.878 // 35.0
"G7008-MONOMER"	G7008-MONOMER	"YebU" // "RsmF" // "ribosomal RNA small subunit methyltransferase F"	53.228
"EG12163-MONOMER"	EG12163-MONOMER	"YhdB" // "RsmB" // "Fmv" // "Fmu" // "RrmB" // "Sun"	48.348 // 47.0
"EG10523-MONOMER"	EG10523-MONOMER	"KsgA" // "RsmA" // "ribosomal RNA small subunit methyltransferase A" // "rRNA small subunit methyltransferase A"	30.42 // 30.0
"EG10376-MONOMER"	EG10376-MONOMER	"GidB" // "RsmG" // "rRNA small subunit 7-methylguanosine (m7G) methyltransferase" // "ribosomal RNA small subunit methyltransferase G"	23.431
"EG12044-MONOMER"	EG12044-MONOMER	"YejD" // "RsuA"	25.865 // 32.5
"CPDB-MONOMER"	CPDB-MONOMER	"CpdB"	70.832 // 67.0
"GPMA-MONOMER"	GPMA-MONOMER	"Gpm" // "GpmA"	28.556 // 27.0
"PGMI-MONOMER"	PGMI-MONOMER	"GpmI" // "GpmC" // "GpmM" // "YibO" // "PgmI"	56.194 // 61.0
"G7490-MONOMER"	G7490-MONOMER	"YgeX"	43.328 // 43
"ENTA-MONOMER"	ENTA-MONOMER	"EntA"	26.25 // 26
