# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 13, 2021, 11:35:18
"id"	"common_name"	"synonyms"	"type"	"left_end_pos"	"right_end_pos"	"direction"
"BS-7046"	null	[]	"dna-binding-site"	1825765	1825784	null
"BS-7048"	null	[]	"dna-binding-site"	3169748	3169760	null
"BS-7049"	null	[]	"dna-binding-site"	3169281	3169293	null
"BS-7050"	null	[]	"dna-binding-site"	1130917	1130933	null
"BS-7051"	null	[]	"dna-binding-site"	1130945	1130961	null
"BS-7052"	null	[]	"dna-binding-site"	1130944	1130960	null
"BS-7053"	null	[]	"dna-binding-site"	1130918	1130934	null
"BS-7054"	null	[]	"dna-binding-site"	1988151	1988167	null
"BS-7055"	null	[]	"dna-binding-site"	1988124	1988140	null
"BS-7056"	null	[]	"dna-binding-site"	2001878	2001894	null
"BS-7057"	null	[]	"dna-binding-site"	2003768	2003784	null
"BS-7058"	null	[]	"dna-binding-site"	2003740	2003756	null
"BS-7060"	null	[]	"dna-binding-site"	4215357	4215371	null
"BS-7061"	null	[]	"dna-binding-site"	4215346	4215352	null
"BS-7063"	null	[]	"dna-binding-site"	4215295	4215301	null
"BS-7064"	null	[]	"dna-binding-site"	4215277	4215283	null
"BS-7065"	null	[]	"dna-binding-site"	4215268	4215274	null
"BS-7066"	null	[]	"dna-binding-site"	4215258	4215264	null
"BS-7067"	null	[]	"dna-binding-site"	4223652	4223666	null
"BS-7069"	null	[]	"dna-binding-site"	2019511	2019527	null
"BS-7070"	null	[]	"dna-binding-site"	1966247	1966263	null
"BS-7071"	null	[]	"dna-binding-site"	1966275	1966292	null
"BS-7072"	null	[]	"dna-binding-site"	2013068	2013085	null
"BS-7073"	null	[]	"dna-binding-site"	2013097	2013113	null
"BS-7074"	null	[]	"dna-binding-site"	687935	687952	null
"BS-7075"	null	[]	"dna-binding-site"	687950	687966	null
"BS-7076"	null	[]	"dna-binding-site"	2710113	2710127	null
"BS-7077"	null	[]	"dna-binding-site"	4635364	4635382	null
"BS-7078"	null	[]	"dna-binding-site"	null	null	null
"BS-7079"	null	[]	"dna-binding-site"	4404612	4404630	null
"BS-7080"	null	[]	"dna-binding-site"	3656820	3656840	null
"BS-7081"	null	[]	"dna-binding-site"	997598	997637	null
"BS-7082"	null	[]	"dna-binding-site"	997560	997602	null
"BS-7083"	null	[]	"dna-binding-site"	4432012	4432030	null
"BS-7084"	null	[]	"dna-binding-site"	2685789	2685807	null
"BS-7085"	null	[]	"dna-binding-site"	2856826	2856844	null
"BS-7086"	null	[]	"dna-binding-site"	1500526	1500544	null
"BS-7087"	null	[]	"dna-binding-site"	1103376	1103397	null
"BS-7088"	null	[]	"dna-binding-site"	1103504	1103525	null
"BS-7089"	null	[]	"dna-binding-site"	451834	451855	null
"BS-7090"	null	[]	"dna-binding-site"	451680	451701	null
"BS-7091"	null	[]	"dna-binding-site"	1889856	1889877	null
"BS-7092"	null	[]	"dna-binding-site"	2177264	2177285	null
"BS-7093"	null	[]	"dna-binding-site"	3128177	3128198	null
"BS-7094"	null	[]	"dna-binding-site"	4551344	4551365	null
"BS-7095"	null	[]	"dna-binding-site"	2750980	2751001	null
"BS-7096"	null	[]	"dna-binding-site"	4201671	4201692	null
"BS-7097"	null	[]	"dna-binding-site"	1619030	1619051	null
"BS-7098"	null	[]	"dna-binding-site"	794989	795010	null
"BS-7099"	null	[]	"dna-binding-site"	2344608	2344629	null
"BS-7101"	null	[]	"dna-binding-site"	2825739	2825760	null
"BS-7102"	null	[]	"dna-binding-site"	2825438	2825460	null
"BS-7103"	null	[]	"dna-binding-site"	2716553	2716574	null
"BS-7104"	null	[]	"dna-binding-site"	3409983	3410004	null
"BS-7105"	null	[]	"dna-binding-site"	3410068	3410089	null
"BS-7106"	null	[]	"dna-binding-site"	3086506	3086527	null
"BS-7107"	null	[]	"dna-binding-site"	3493935	3493956	null
"BS-7108"	null	[]	"dna-binding-site"	3493680	3493701	null
"BS-7109"	null	[]	"dna-binding-site"	990441	990462	null
"BS-7110"	null	[]	"dna-binding-site"	990611	990632	null
"BS0-0"	null	[]	"dna-binding-site"	2832367	2832373	null
"BS0-1"	null	[]	"dna-binding-site"	2303611	2303617	null
"BS0-10"	null	[]	"dna-binding-site"	1298330	1298336	null
"BS0-10000"	null	[]	"dna-binding-site"	1792075	1792091	null
"BS0-10001"	null	[]	"dna-binding-site"	1951193	1951209	null
"BS0-10002"	null	[]	"dna-binding-site"	2038869	2038885	null
"BS0-10003"	null	[]	"dna-binding-site"	2167834	2167850	null
"BS0-10004"	null	[]	"dna-binding-site"	2273874	2273890	null
"BS0-10005"	null	[]	"dna-binding-site"	2278478	2278494	null
"BS0-10006"	null	[]	"dna-binding-site"	2284750	2284766	null
"BS0-10007"	null	[]	"dna-binding-site"	2348781	2348797	null
"BS0-10008"	null	[]	"dna-binding-site"	2450181	2450197	null
"BS0-10009"	null	[]	"dna-binding-site"	2629167	2629183	null
"BS0-1001"	null	[]	"dna-binding-site"	180615	180629	null
"BS0-10010"	null	[]	"dna-binding-site"	2629632	2629648	null
"BS0-10011"	null	[]	"dna-binding-site"	2764679	2764695	null
"BS0-10012"	null	[]	"dna-binding-site"	2800087	2800103	null
"BS0-10013"	null	[]	"dna-binding-site"	2797505	2797521	null
"BS0-10014"	null	[]	"dna-binding-site"	2809571	2809587	null
"BS0-10015"	null	[]	"dna-binding-site"	2902347	2902363	null
"BS0-10016"	null	[]	"dna-binding-site"	2894180	2894196	null
"BS0-10017"	null	[]	"dna-binding-site"	3076991	3077007	null
"BS0-10018"	null	[]	"dna-binding-site"	3200962	3200978	null
"BS0-10019"	null	[]	"dna-binding-site"	3185399	3185415	null
"BS0-1002"	null	[]	"dna-binding-site"	3492375	3492389	null
"BS0-10020"	null	[]	"dna-binding-site"	3171868	3171884	null
"BS0-10021"	null	[]	"dna-binding-site"	3267808	3267824	null
"BS0-10022"	null	[]	"dna-binding-site"	3301470	3301486	null
"BS0-10023"	null	[]	"dna-binding-site"	3361935	3361951	null
"BS0-10024"	null	[]	"dna-binding-site"	3362650	3362666	null
"BS0-10025"	null	[]	"dna-binding-site"	3511990	3512006	null
"BS0-10026"	null	[]	"dna-binding-site"	3582241	3582257	null
"BS0-10027"	null	[]	"dna-binding-site"	3836138	3836154	null
"BS0-10028"	null	[]	"dna-binding-site"	3893719	3893735	null
"BS0-10029"	null	[]	"dna-binding-site"	3941349	3941365	null
"BS0-10030"	null	[]	"dna-binding-site"	3949715	3949731	null
"BS0-10031"	null	[]	"dna-binding-site"	4010185	4010201	null
"BS0-10032"	null	[]	"dna-binding-site"	4060381	4060397	null
"BS0-10033"	null	[]	"dna-binding-site"	4065763	4065779	null
"BS0-10034"	null	[]	"dna-binding-site"	4069158	4069174	null
"BS0-10035"	null	[]	"dna-binding-site"	4079527	4079543	null
"BS0-10036"	null	[]	"dna-binding-site"	4080059	4080075	null
"BS0-10037"	null	[]	"dna-binding-site"	4227576	4227592	null
"BS0-10038"	null	[]	"dna-binding-site"	4269967	4269983	null
"BS0-10039"	null	[]	"dna-binding-site"	4274670	4274686	null
