"position"	"direction"	"id"	"name"
1823712	"-"	"PM-8764"	"spyp"
2535337	"+"	"PM-8766"	"yfeKp"
2614090	"+"	"PM-8767"	"yfgCp1"
2636997	"-"	"PM-8768"	"bamBp"
3167773	"+"	"PM-8770"	"qseBp2"
2960529	"-"	"PM-8771"	"recCp"
925702	"-"	"PM-8772"	"infAp2"
925908	"-"	"PM-8773"	"infAp1"
2733983	"+"	"PM-8774"	"bamDp2"
3037655	"-"	"PM-8775"	"dsbCp2"
3199064	"+"	"PM-8776"	"ygiMp2"
3167823	"+"	"PM-8777"	"qseBp1"
3294094	"+"	"PM-8779"	"yraPp2"
3326875	"-"	"PM-8780"	"greAp2"
3341418	"+"	"PM-8781"	"lptBp"
1130108	"-"	"PM-8782"	"flgAp"
1130216	"+"	"PM-8783"	"flgBp"
1986224	"+"	"PM-8784"	"yecRp"
2287198	"-"	"PM-8786"	"yejOp"
1964240	"-"	"PM-8790"	"flhBp"
2011229	"+"	"PM-8793"	"fliFp"
2011060	"-"	"PM-8794"	"fliEp1"
2011170	"+"	"PM-8797"	"fliFp1"
687119	"-"	"PM-8798"	"gltIp1"
3548421	"-"	"PM-8800"	"malQp"
3680039	"-"	"PM-8803"	"yhjJp"
3891852	"+"	"PM-8805"	"yieEp"
4254621	"-"	"PM-8807"	"plsBp"
576096	"+"	"PM-8808"	"essDp"
1073357	"+"	"PM-8809"	"rutRp"
1536711	"-"	"PM-8813"	"narWp"
1719022	"+"	"PM-8814"	"ydhIp"
1726377	"+"	"PM-8816"	"lhrp"
2764729	"+"	"PM-8817"	"rnlBp"
3453656	"-"	"PM-8819"	"gspAp4"
3834687	"-"	"PM-8820"	"yicJp"
638225	"+"	"PM-8821"	"ahpFp"
1984799	"+"	"PM-8824"	"ftnBp"
4430032	"-"	"PM-8827"	"ytfEp"
2854850	"-"	"PM-8829"	"ygbAp"
1498560	"+"	"PM-8830"	"tehAp"
3495776	"+"	"PM0-1"	"cysGp1"
2194466	"+"	"PM0-10"	"molR_1p"
903740	"+"	"PM0-10000"	"ybjQp"
908543	"-"	"PM0-10001"	"ltaEp"
918326	"-"	"PM0-10002"	"ybjXp"
931301	"-"	"PM0-10003"	"trxBp"
938588	"+"	"PM0-10004"	"serSp"
970895	"+"	"PM0-10006"	"ycbJp"
980154	"+"	"PM0-10007"	"ycbBp"
982246	"+"	"PM0-10008"	"ycbKp"
988267	"-"	"PM0-10009"	"asnSp"
989814	"+"	"PM0-10010"	"pepNp"
1017682	"+"	"PM0-10011"	"matPp"
