Object ID	Display Name	Synonyms
EG11979_TRANSCRIPTION	rfbC transcription	['rfbC transcription', 'rfbD transcription', 'rmlC transcription', 'b2038 transcription', 'ECK2032 transcription']
EG11991_TRANSCRIPTION	yehE transcription	['yehE transcription', 'b2112 transcription', 'ECK2105 transcription']
EG12302_TRANSCRIPTION	tmk transcription	['tmk transcription', 'ycfG transcription', 'b1098 transcription', 'ECK1084 transcription']
EG12320_TRANSCRIPTION	yadG transcription	['yadG transcription', 'b0127 transcription', 'ECK0126 transcription']
EG11428_TRANSCRIPTION	sthA transcription	['sthA transcription', 'sth transcription', 'udhA transcription', 'b3962 transcription', 'ECK3954 transcription']
EG10649_TRANSCRIPTION	ndh transcription	['ndh transcription', 'b1109 transcription', 'ECK1095 transcription']
EG11650_TRANSCRIPTION	yafD transcription	['yafD transcription', 'b0209 transcription', 'ECK0209 transcription']
EG11045_TRANSCRIPTION	udp transcription	['udp transcription', 'b3831 transcription', 'ECK3825 transcription']
EG10818_TRANSCRIPTION	rbsK transcription	['rbsK transcription', 'b3752 transcription', 'ECK3746 transcription']
EG11257_TRANSCRIPTION	dgcC transcription	['dgcC transcription', 'yaiC transcription', 'adrA transcription', 'b0385 transcription', 'ECK0380 transcription']
EG10566_TRANSCRIPTION	manA transcription	['manA transcription', 'pmi transcription', 'b1613 transcription', 'ECK1608 transcription']
G7468_TRANSCRIPTION	yqeJ transcription	['yqeJ transcription', 'b2848 transcription', 'ECK2846 transcription']
EG10413_TRANSCRIPTION	gpp transcription	['gpp transcription', 'gppA transcription', 'b3779 transcription', 'ECK3771 transcription']
EG10290_TRANSCRIPTION	fecE transcription	['fecE transcription', 'b4287 transcription', 'ECK4277 transcription']
EG12411_TRANSCRIPTION	rfbD transcription	['rfbD transcription', 'rmlD transcription', 'b2040 transcription', 'ECK2034 transcription']
EG10468_TRANSCRIPTION	hyaA transcription	['hyaA transcription', 'b0972 transcription', 'ECK0963 transcription']
G7015_TRANSCRIPTION	yobB transcription	['yobB transcription', 'b1843 transcription', 'ECK1844 transcription']
EG11971_TRANSCRIPTION	nupC transcription	['nupC transcription', 'cru transcription', 'b2393 transcription', 'ECK2388 transcription']
EG10053_TRANSCRIPTION	araB transcription	['araB transcription', 'b0063 transcription', 'ECK0064 transcription']
G6273_TRANSCRIPTION	ylbG transcription	['ylbG transcription', 'b0502 transcription', 'ECK0495 transcription']
EG11789_TRANSCRIPTION	gmm transcription	['gmm transcription', 'nudD transcription', 'wcaH transcription', 'yefC transcription', 'b2051 transcription', 'ECK2045 transcription']
G6742_TRANSCRIPTION	ydcL transcription	['ydcL transcription', 'b1431 transcription', 'ECK1424 transcription']
EG10994_TRANSCRIPTION	tdk transcription	['tdk transcription', 'b1238 transcription', 'ECK1233 transcription']
G6423_TRANSCRIPTION	ybiT transcription	['ybiT transcription', 'b0820 transcription', 'ECK0810 transcription']
EG11060_TRANSCRIPTION	ushA transcription	['ushA transcription', 'b0480 transcription', 'ECK0474 transcription']
EG11227_TRANSCRIPTION	fdnG transcription	['fdnG transcription', 'b1474 transcription', 'ECK1468 transcription']
