ID	Name	Symbol	Type	Coordinate	Length	Direction	Expression	Half life (s)	Product	Splices	(absolute nt position, old, new)	Comments
EG10001	alanine racemase 1	alr	mRNA	4263805	1080	+	0.0000171588	344.81999999999999	ALARACEBIOSYN-MONOMER	[]	[]	
EG10002	molybdate ABC transporter - membrane subunit	modB	mRNA	795085	690	+	0.0000855784	564.0	MODB-MONOMER	[]	[]	
EG10003	predicted inner membrane protein	cysZ	mRNA	2529485	762	+	0.0000392696	198.0	EG10003-MONOMER	[]	[]	
EG10004	Dfp	dfp	mRNA	3810754	1221	+	0.0002138761	144.0	EG10004-MONOMER	[]	[]	
EG10006	dicarboxylate transporter DcuB	dcuB	mRNA	4346767	1341	-	0.0000120282	366.0	DCUB-MONOMER	[]	[]	
EG10007	lysine/arginine/ornithine ABC transporter / histidine ABC transporter - membrane subunit	hisM	mRNA	2423255	717	-	0.0000823008	282.0	HISM-MONOMER	[]	[]	
EG10008	ZraS sensory histidine kinase	zraS	mRNA	4199949	1398	+	0.0000087809	983.9999999999999	HYDH-MONOMER	[]	[]	
EG10010	RhsE protein in rhs element	rhsE	mRNA	1525914	2049	+	0.0000082953	438.0	EG10010-MONOMER	[]	[]	
EG10011	protein that reduces intracellular iron levels under peroxide stress	yaaA	mRNA	6459	777	-	0.0000407280	228.0	EG10011-MONOMER	[]	[]	
EG10012	glutathione / L-cysteine efflux transporter - CydC subunit	cydC	mRNA	928418	1722	-	0.0000577570	245.99999999999997	CYDC-MONOMER	[]	[]	
EG10013	murein DD-endopeptidase YebA	yebA	mRNA	1939659	1323	-	0.0000180406	90.0	EG10013-MONOMER	[]	[]	
EG10014	AcrAD-TolC multidrug efflux transport system - permease subunit	acrD	mRNA	2585617	3114	+	0.0000412170	366.0	ACRD-MONOMER	[]	[]	
EG10015	transmembrane component of cytoskeleton	rodZ	mRNA	2640866	1014	-	0.0002431947	162.0	EG10015-MONOMER	[]	[]	
EG10016	GarL	garL	mRNA	3271579	771	-	0.0000152705	300.0	KDGALDOL-MONOMER	[]	[]	
EG10017	IspB	ispB	mRNA	3331732	972	+	0.0001585992	348.0	OPPSYN-MONOMER	[]	[]	
EG10018	regulator of CsrB and CsrC decay	csrD	mRNA	3401354	1941	-	0.0000266934	318.0	EG10018-MONOMER	[]	[]	
EG10020	CpxR transcriptional dual regulator	cpxR	mRNA	4103693	699	-	0.0001015216	366.0	CPXR-MONOMER	[]	[]	
EG10021	P-loop guanosine triphosphatase	yjiA	mRNA	4586888	957	-	0.0001004375	468.0	EG10021-MONOMER	[]	[]	
EG10022	isocitrate lyase monomer	aceA	mRNA	4215132	1305	+	0.0003452272	690.0	ISOCIT-LYASE-MONOMER	[]	[]	
EG10023	malate synthase A	aceB	mRNA	4213501	1602	+	0.0005071715	360.0	MALATE-SYNTHASE	[]	[]	
EG10024	subunit of E1p component of pyruvate dehydrogenase complex	aceE	mRNA	123017	2664	+	0.0007091980	372.0	E1P-MONOMER	[]	[]	
EG10025	AceF	aceF	mRNA	125695	1893	+	0.0004813211	594.0	E2P-MONOMER	[]	[]	
EG10026	AceK	aceK	mRNA	4216619	1737	+	0.0000517649	240.0	ICITDEHASE-KIN-PHOSPHA	[]	[]	
EG10027	acetate kinase	ackA	mRNA	2411492	1203	+	0.0003164279	216.0	ACETATEKINA-MONOMER	[]	[]	
EG10028	pyruvate formate-lyase activating enzyme	pflA	mRNA	950303	741	-	0.0000833225	258.0	PFLACTENZ-MONOMER	[]	[]	
EG10029	Ada DNA-binding transcriptional dual regulator	ada	mRNA	2308427	1065	-	0.0000635166	330.0	PD00230	[]	[]	
EG10030	adenosine deaminase	add	mRNA	1700257	1002	+	0.0000454388	222.0	ADENODEAMIN-MONOMER	[]	[]	
EG10031	AdhE	adhE	mRNA	1297344	2676	-	0.0003306480	372.0	ADHE-MONOMER	[]	[]	
EG10032	adenylate kinase	adk	mRNA	496399	645	+	0.0005820486	210.0	ADENYL-KIN-MONOMER	[]	[]	
EG10033	Agp	agp	mRNA	1064808	1242	+	0.0000554489	1098.0	GLUCOSE-1-PHOSPHAT-MONOMER	[]	[]	
EG10034	alanyl-tRNA synthetase	alaS	mRNA	2820033	2631	-	0.0007181138	120.0	ALAS-MONOMER	[]	[]	
EG10035	AldA	aldA	mRNA	1486256	1440	+	0.0001130053	342.0	LACTALDDEHYDROG-MONOMER	[]	[]	
EG10036	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	puuC	mRNA	1360767	1488	+	0.0000054409	432.0	ALDHDEHYDROG-MONOMER	[]	[]	
EG10037	AlkB repair system for alkylated DNA and RNA	alkB	mRNA	2307363	651	-	0.0000142234	294.0	EG10037-MONOMER	[]	[]	
EG10039	Amn	amn	mRNA	2053085	1455	+	0.0000847590	150.0	AMP-NUCLEOSID-MONOMER	[]	[]	
EG10040	&beta;-lactamase; penicillin resistance	ampC	mRNA	4376967	1134	-	0.0000215055	354.0	EG10040-MONOMER	[]	[]	
EG10041	N-acetyl-anhydromuramyl-L-alanine-amidase	ampD	mRNA	118733	552	+	0.0000486693	258.0	EG10041-MONOMER	[]	[]	
EG10042	predicted inner membrane protein	ampE	mRNA	119281	855	+	0.0000471029	234.0	EG10042-MONOMER	[]	[]	
EG10043	adenosine-3'(2'),5'-bisphosphate nucleotidase	cysQ	mRNA	4434778	741	+	0.0000532486	324.0	EG10043-MONOMER	[]	[]	
EG10044	osmotically inducible protein OsmE	osmE	mRNA	1820280	339	-	0.0000428811	491.99999999999994	EG10044-MONOMER	[]	[]	
EG10045	AnsA	ansA	mRNA	1848884	1017	+	0.0000900768	204.0	ANSA-MONOMER	[]	[]	
EG10046	AnsB	ansB	mRNA	3098750	1047	-	0.0000086292	330.0	ANSB-MONOMER	[]	[]	
EG10047	hypothetical protein	apaG	mRNA	51606	378	-	0.0001121285	174.0	EG10047-MONOMER	[]	[]	
EG10048	diadenosine tetraphosphatase	apaH	mRNA	51222	843	-	0.0000481938	216.0	EG10048-MONOMER	[]	[]	
EG10049	AppA	appA	mRNA	1039840	1299	+	0.0000176967	344.81999999999999	APPA-MONOMER	[]	[]	
EG10050	AppY DNA-binding transcriptional activator	appY	mRNA	582904	750	+	0.0000065199	344.81999999999999	PD00967	[]	[]	
EG10051	adenine phosphoribosyltransferase	apt	mRNA	490636	552	+	0.0002879506	204.0	ADENPRIBOSYLTRAN-MONOMER	[]	[]	
EG10052	L-arabinose isomerase monomer	araA	mRNA	68337	1503	-	0.0000182683	324.0	ARABISOM-MONOMER	[]	[]	
EG10053	L-ribulokinase monomer	araB	mRNA	70048	1701	-	0.0000448285	636.0	RIBULOKIN-MONOMER	[]	[]	
EG10054	AraC	araC	mRNA	70387	879	+	0.0000259246	294.0	PD00242	[]	[]	
EG10055	L-ribulose 5-phosphate 4-epimerase monomer	araD	mRNA	66550	696	-	0.0000563897	666.0	RIBULPEPIM-MONOMER	[]	[]	
EG10056	arabinose:H<sup>+</sup> symporter	araE	mRNA	2980204	1419	-	0.0000418830	498.00000000000006	ARAE-MONOMER	[]	[]	
EG10057	arabinose ABC transporter - periplasmic binding protein	araF	mRNA	1984152	990	-	0.0000160511	348.0	ARAF-MONOMER	[]	[]	
EG10058	arabinose ABC transporter -  ATP binding subunit	araG	mRNA	1983093	1515	-	0.0000205967	270.0	ARAG-MONOMER	[]	[]	
EG10059	arabinose ABC transporter - membrane subunit	araH	mRNA	1981567	990	-	0.0000236636	312.0	ARAH-MONOMER	[]	[]	
EG10060	putative arabinose efflux transporter	araJ	mRNA	411705	1185	-	0.0000158016	366.0	ARAJ-MONOMER	[]	[]	
EG10061	ArcA transcriptional dual regulator	arcA	mRNA	4638329	717	-	0.0002419807	156.0	ARCA-MONOMER	[]	[]	
EG10062	ArcB sensory histidine kinase	arcB	mRNA	3351047	2337	-	0.0001013615	216.0	ARCB-MONOMER	[]	[]	
