Frame ID	Name	Gene	Location	Modified form	Comments
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	1-acylglycerol-3-phosphate O-acyltransferase	EG11377	"[""CCO-PM-BAC-NEG""]"	[]	Location information from Han 2011.
1-PFK-MONOMER	1-phosphofructokinase monomer	EG10337	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
2-DEHYDROPANTOATE-REDUCT-MONOMER	2-dehydropantoate 2-reductase	G6239	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
2-ISOPROPYLMALATESYN-MONOMER	2-isopropylmalate synthase	EG11226	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase	EG11473	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	2-octaprenylphenol hydroxylase	EG11476	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	3-methyl-2-oxobutanoate hydroxymethyltransferase monomer	EG11675	"[""CCO-CYTOSOL""]"	[]	Location information from Lopez Campistrous 2005.
3-ISOPROPYLMALDEHYDROG-MONOMER	LeuB	EG11577	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
3-OXOACYL-ACP-REDUCT-MONOMER	3-oxo-acyl-[acyl-carrier-protein] reductase	EG11318	"[""CCO-CYTOSOL""]"	[]	Location information from Lopez Campistrous 2005.
3-OXOACYL-ACP-SYNTHII-MONOMER	FabF	EG12606	"[""CCO-CYTOSOL""]"	[]	Location information from Lopez Campistrous 2005.Location manually re-set.
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	4-hydroxybenzoate octaprenyltransferase	EG11370	"[""CCO-PM-BAC-NEG""]"	[]	Location information from Han 2011.
6PFK-1-MONOMER	6-phosphofructokinase-1 monomer	EG10699	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
6PFK-2-MONOMER	6-phosphofructokinase-2 monomer	EG10700	"[""CCO-CYTOSOL""]"	[]	Location information from Lopez Campistrous 2005.
6PGLUCONDEHYDROG-MONOMER	Gnd	EG10411	"[""CCO-CYTOSOL""]"	[]	Location information from Lopez Campistrous 2005.
6PGLUCONOLACT-MONOMER	6-phosphogluconolactonase	G6397	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	HdhA	EG10425	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
7KAPSYN-MONOMER	8-amino-7-oxononanoate synthase monomer	EG10121	"[""CCO-CYTOSOL""]"	[]	Location information from Han 2011.
