# Created from analyzing sample simulations, ran by the commands:
# python runscripts/manual/runSim.py --no-trna-charging --translation-supply -v condition 0 0 -g 20 -i 5
# python runscripts/manual/runSim.py --no-trna-charging --translation-supply -v condition 2 2 -g 20 -i 5
# Note: The means and standard deviations of intracellular tRNA
# synthetase concentrations may be estimated from the ParCa in the
# future. At the time of writing this file, the ParCa estimates differed
# from simulations enough to warrant gathering these data from sample
# simulation runs.
"synthetase_condition"	"mean (units.umol / units.L)"	"std (units.umol / units.L)"	"min (units.umol / units.L)"
"ALAS-CPLX[c]__basal"	0.7423189208190180	0.11616825089982000	0.483187112833047
"ARGS-MONOMER[c]__basal"	0.6672002641608450	0.1597141146558670	0.2888729100141950
"ASNS-CPLX[c]__basal"	2.4910407635249300	0.3525052520244090	1.6243099713516600
"ASPS-CPLX[c]__basal"	0.5771473875038710	0.12045037564035500	0.21146409091957800
"CYSS-MONOMER[c]__basal"	0.6411999413254040	0.19219029964411400	0.2118880140620340
"GLURS-MONOMER[c]__basal"	3.1274440181504900	0.40659536202434100	2.0408788997417600
"GLNS-MONOMER[c]__basal"	1.3350239329019100	0.24141228140184100	0.6659582291152030
"GLYS-CPLX[c]__basal"	0.8426754097117860	0.13608990085361000	0.5338531809049940
"HISS-CPLX[c]__basal"	0.4712007328078540	0.06834850593725180	0.30168295788116100
"ILES-MONOMER[c]__basal"	1.6735430866494800	0.267887071007141	1.1407656534057900
"LEUS-MONOMER[c]__basal"	1.3835086023154600	0.2743297330547160	0.7825444689702260
"LYSS-CPLX[c]__basal"	1.486835050471430	0.21735860151448400	0.9331313414489740
"METG-CPLX[c]__basal"	0.9056098131239520	0.1681234516852100	0.4860094205183940
"PHES-CPLX[c]__basal"	0.871288093764377	0.11570601276618100	0.5633859347321130
"PROS-CPLX[c]__basal"	0.8748665887624690	0.13650370335766100	0.5156683081283700
"SERS-CPLX[c]__basal"	1.5483541982344900	0.2677229255423710	0.8663525557567740
"THRS-CPLX[c]__basal"	1.983056684736880	0.2659362709718410	1.4002874426702800
"TRPS-CPLX[c]__basal"	0.8473595143182790	0.21761515798039400	0.2554549619212910
"TYRS-CPLX[c]__basal"	1.0467788398373400	0.14903269617001300	0.7200246015630480
"VALS-MONOMER[c]__basal"	1.6469985169127700	0.33152049752439600	0.9199149178058790
"ALAS-CPLX[c]__with_aa"	0.7804733314233000	0.2016796712088980	0.4879055296493640
"ARGS-MONOMER[c]__with_aa"	0.627448062442113	0.21242151715940000	0.284191531022075
"ASNS-CPLX[c]__with_aa"	1.8466520474820300	0.2542329233780370	1.2932026264612300
"ASPS-CPLX[c]__with_aa"	0.5193869239627120	0.16052714702417100	0.3203201232100740
"CYSS-MONOMER[c]__with_aa"	0.6707970768599800	0.14674678007687200	0.2738248450090890
"GLURS-MONOMER[c]__with_aa"	2.8896674444389900	0.3485109436156820	2.0662344742876300
"GLNS-MONOMER[c]__with_aa"	1.3518782298469700	0.17753702692156000	0.868480139423782
"GLYS-CPLX[c]__with_aa"	0.9349154386995200	0.11844452268843000	0.6581142794531330
"HISS-CPLX[c]__with_aa"	0.43102518039333700	0.043982191966823100	0.3096137498593460
"ILES-MONOMER[c]__with_aa"	1.8875146872423800	0.19770385751530400	1.4171885698224300
"LEUS-MONOMER[c]__with_aa"	1.2847983175420800	0.1760377104699750	0.7662319810967820
"LYSS-CPLX[c]__with_aa"	1.5162285518030000	0.18801928033113200	1.0372657963489800
"METG-CPLX[c]__with_aa"	0.8135471704751130	0.1239334213788780	0.5393539145623250
"PHES-CPLX[c]__with_aa"	0.6871529316267740	0.07796396936775860	0.4883678689424180
"PROS-CPLX[c]__with_aa"	0.9244765696008040	0.10354355696738600	0.6996605302855070
"SERS-CPLX[c]__with_aa"	1.4171581344798600	0.3602180631633640	0.8285671220813850
"THRS-CPLX[c]__with_aa"	1.435802925213580	0.22016128034332500	0.9048921111905840
"TRPS-CPLX[c]__with_aa"	0.9545981314076730	0.21552951849054400	0.5325049394521350
"TYRS-CPLX[c]__with_aa"	0.8224811742642850	0.12398739216030400	0.4820466018393750
"VALS-MONOMER[c]__with_aa"	1.855277485596660	0.21508406305532000	1.2550416235061400
