1	b0020	nhaR
2	b0034	caiF
3	b0064	araC
4	b0069	sgrR
5	b0076	leuO
6	b0080	cra
7	b0113	pdhR
8	b0146	sfsA
9	b0162	cdaR
10	b0208	yafC
11	b0226	dinJ
12	b0240	crl
13	b0254	perR
14	b0267	yagA
15	b0272	yagI
16	b0282	yagP
17	b0294	ecpR
18	b0300	ykgA
19	b0305	ykgD
20	b0313	betI
21	b0316	yahB
22	b0318	yahD
23	b0330	prpR
24	b0338	cynR
25	b0345	lacI
26	b0346	mhpR
27	b0357	frmR
28	b0375	yaiV
29	b0378	yaiW
30	b0399	phoB
31	b0413	nrdR
32	b0435	bolA
33	b0440	hupB
34	b0447	ybaO
35	b0464	acrR
36	b0483	ybaQ
37	b0487	cueR
38	b0502	ylbG
39	b0504	allS
40	b0506	allR
41	b0535	fimZ
42	b0564	appY
43	b0566	envY
44	b0571	cusR
45	b0603	ybdO
46	b0620	dpiA
47	b0623	cspE
48	b0629	ybeF
49	b0676	nagC
50	b0683	fur
51	b0694	kdpE
52	b0715	abrB
53	b0730	mngR
54	b0761	modE
55	b0768	ybhD
56	b0788	ybhN
57	b0796	ybiH
58	b0817	mntR
59	b0840	deoR
60	b0846	ybjK
61	b0889	lrp
62	b0900	ycaN
63	b0912	ihfB
64	b0995	torR
65	b1013	rutR
66	b1040	csgD
67	b1071	flgM
68	b1111	ycfQ
69	b1130	phoP
70	b1146	ymfT
71	b1147	ymfL
72	b1149	ymfN
73	b1162	bluR
74	b1187	fadR
75	b1201	dhaR
76	b1213	ychQ
77	b1214	ychA
78	b1221	narL
79	b1237	hns
80	b1275	cysB
81	b1284	yciT
82	b1299	puuR
83	b1303	pspF
84	b1305	pspB
85	b1306	pspC
86	b1320	ycjW
87	b1323	tyrR
88	b1328	ycjZ
89	b1334	fnr
90	b1339	abgR
91	b1356	racR
92	b1357	ydaS
93	b1384	feaR
94	b1399	paaX
95	b1422	ydcI
96	b1434	ydcN
97	b1439	ydcR
98	b1450	mcbR
99	b1477	yddM
100	b1497	ydeM
101	b1499	ydeO
102	b1506	yneL
103	b1507	hipA
104	b1508	hipB
105	b1512	lsrR
106	b1526	yneJ
107	b1530	marR
108	b1531	marA
109	b1540	ydfH
110	b1557	cspB
111	b1564	relB
112	b1569	dicC
113	b1570	dicA
114	b1594	mlc
115	b1595	ynfL
116	b1608	rstA
117	b1618	uidR
118	b1620	malI
119	b1642	slyA
120	b1649	nemR
121	b1658	purR
122	b1659	ydhB
123	b1696	ydiP
124	b1712	ihfA
125	b1735	chbR
126	b1739	osmE
127	b1770	ydjF
128	b1790	yeaM
129	b1799	dmlR
130	b1823	cspC
131	b1827	kdgR
132	b1853	yebK
133	b1891	flhC
134	b1892	flhD
135	b1914	uvrY
136	b1916	sdiA
137	b1921	fliZ
138	b1922	fliA
139	b1951	rcsA
140	b1969	yedW
141	b1987	cbl
142	b1988	nac
143	b2015	yeeY
144	b2017	yefM
145	b2079	baeR
146	b2082	ogrK
147	b2087	gatR_1
148	b2101	yegW
149	b2105	rcnR
150	b2125	yehT
151	b2127	mlrA
152	b2151	galS
153	b2157	yeiE
154	b2163	yeiL
155	b2193	narP
156	b2213	ada
157	b2217	rcsB
158	b2220	atoC
159	b2248	yfaX
160	b2289	lrhA
161	b2365	dsdX
162	b2369	evgA
163	b2381	ypdB
164	b2382	ypdC
165	b2398	yfeC
166	b2399	yfeD
167	b2405	xapR
168	b2409	yfeR
169	b2427	murR
170	b2437	eutR
171	b2479	gcvR
172	b2491	hyfR
173	b2531	iscR
174	b2537	hcaR
175	b2550	yphH
176	b2554	glrR
