Gene names,Protein IDs,num_of_neighbors,aromaticities,instabilities,mass,pI,flexabilities,gravies,seq_len,average_neigh_mass,average_neigh_len,average_neigh_pI,Total_precent_disorder,Total_no_of_disordered_regions_greater_than_30_amino_acids,Total_no_of_disordered_regions_greater_than_50_amino_acids,number_of_disordered_segments,mean_neigh_disorder,helix,turn,sheet,A_NEnd,C_NEnd,D_NEnd,E_NEnd,F_NEnd,G_NEnd,H_NEnd,I_NEnd,K_NEnd,L_NEnd,M_NEnd,N_NEnd,P_NEnd,Q_NEnd,R_NEnd,S_NEnd,T_NEnd,V_NEnd,Y_NEnd,A_NEnd_PC5,C_NEnd_PC5,D_NEnd_PC5,R_NEnd_PC5,T_NEnd_PC5,NM1,NM2,NM3,CM1,is_single_node,gravies_over_node_connectivity,flexibilities_over_node_connectivity,pI_over_node_connectivity,mass_over_node_connectivity,instabilities_over_node_connectivity,Total_precent_disorder_over_node_connectivity,helix_over_node_connectivity,turn_over_node_connectivity,sheet_over_node_connectivity,seq_len_over_node_connectivity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label,half_life
gnsB,P77695,1,0.052631579,33.84385965,6547.5908,8.963317871,1.019457341,-0.480701754,57,55363.5252,489,5.60369873,26.31,0,0,2,0.034764826,0.298245614,0.140350877,0.280701754,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.240350877,0.509728671,4.481658936,3273.7954,16.92192982,13.155,0.149122807,0.070175439,0.140350877,28.5,-0.03522864,0.009723831,0.09990452,0.089714095,0.1240758,-0.01714595,0.07522085,0.084134124,-0.076076694,-0.05316009,-0.027352003,-0.027201138,0.036573805,-0.070307665,0.006745536,-0.0843091,-0.022144306,0.07574649,-0.058740564,-0.03931718,0.05550429,-0.039140012,-0.07792513,0.048033018,0.14451131,-0.025158351,0.07009396,-0.11718342,-0.20531753,-0.13515438,-0.019131526,-0.1120269,-0.001912458,0.14013991,0.26228204,0.1523967,0.028849171,-0.014427889,0.036744993,0.16468428,0.14223178,-0.002891632,0.07282622,0.01244335,-0.006842502,-0.060430437,-0.13916536,-0.054375023,-0.056570318,-0.050203837,0.047252003,-0.010276407,-0.09074679,-0.028355092,0.043434087,0.11789669,0.07408174,0.10807727,-0.09347191,-0.002065587,-0.08722274,0.005775789,-0.048244912,0.062712185,-0.012655414,-0.13822746,-0.14171535,-0.17562017,-0.020776827,-0.029046258,0.07463288,0.084216416,0.2418437,-0.07730016,0.15887989,-0.16336451,0.158785,-0.04802868,-0.000521792,-0.22233914,-0.003490331,0.021616343,-0.039976534,0.041868504,0.19375521,0.02964054,-0.040550213,-0.03053164,-0.087687835,0.016480366,-0.09505466,-0.021672726,0.2437618,0.15113431,0.21873792,0.1274079,0.0941782,0.029153584,-0.1409283,-0.12744999,-0.10328356,-0.11369499,0.04609415,0.13908297,0.083014056,-0.112185,-0.10288466,-0.04089953,0.13492522,-0.095127374,-0.19313127,0.15279052,-0.006987143,-0.17370482,-0.15788078,-0.046502564,-0.018739048,-0.023326576,0.10523505,-0.068973124,0.022141496,0.024496997,0.1033692,-0.063500375,0.012267257,0.18007098,0.07712587,0.014271882,2,inf
yhiI,P37626,1,0.045070423,40.02788732,38827.9385,6.893737793,1.000842348,-0.16056338,355,70701.6386,648,5.957702637,25.63,1,1,5,0.057098765,0.284507042,0.154929577,0.354929577,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.08028169,0.500421174,3.446868896,19413.96925,20.01394366,12.815,0.142253521,0.077464789,0.177464789,177.5,-0.16862305,0.07897177,-0.05776914,0.16823958,0.08949072,-0.105974086,0.11622679,0.08308585,-0.14777917,-0.10438078,0.10070005,0.054724563,0.16754566,-0.096402206,0.016451964,-0.084316246,-0.04048907,0.12784463,-0.17892054,0.015465505,0.022057988,-0.020508189,-0.24163583,-0.11454297,0.2903209,0.01447534,-0.007471935,-0.2628227,-0.09481291,0.01355998,-0.03218877,-0.115588404,0.25169158,0.1632431,0.22608747,0.012521455,0.002118075,0.08324876,-0.054872394,0.2298895,0.15994355,-0.08775845,-0.017909305,0.068103276,-0.043427855,-0.07497265,-0.22230312,-0.03092192,-0.014958957,0.002972029,0.04225175,0.06178346,-0.24256092,0.012970074,-0.00921258,-0.039580833,0.14118639,-0.006948191,-0.021196382,0.06858654,-0.0597083,-0.028707603,-0.17719291,0.27279222,-0.040169384,-0.18503478,-0.11374608,-0.023931755,0.019548666,-0.097721495,-0.099479586,0.08357834,0.18038696,-0.10742841,0.10068183,-0.14229508,0.31889713,-0.073306784,0.060951084,-0.38045728,-0.22608423,0.13559131,0.0864693,-0.08271813,0.17284602,0.0809586,0.029569881,0.060275577,-0.00231785,-0.054970384,-0.008069263,0.033522774,0.11114034,0.08417144,0.26083657,0.13774438,0.20395066,-0.11229389,-0.19119465,-0.10477239,-0.088151015,-0.1016076,0.15310201,0.21407448,0.019737598,-0.16673094,0.005333814,0.031465273,0.26135236,-0.17001635,-0.2174466,0.028509274,-0.009267272,-0.15651833,-0.16903953,-0.08938855,0.015560955,-0.06262462,-0.046390887,-0.027129661,0.14097278,-0.18286002,0.05964732,-0.006187212,0.05795965,0.10243256,-0.01890258,0.006911906,0,87.84828828
ybgK,P75745,2,0.067741935,43.00064516,34385.9688,8.590637207,0.998022425,-0.346774194,310,38106.1681,348,5.860900879,10,0,0,4,0.058908046,0.280645161,0.238709677,0.274193548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-0.115591398,0.332674142,2.863545736,11461.9896,14.33354839,3.333333333,0.093548387,0.079569892,0.091397849,103.3333333,-0.026934467,0.015601724,0.20160563,0.15864609,0.002177812,0.034296475,0.09161706,0.10017641,-0.05780545,-0.021789782,0.03820308,-0.011733311,0.00658293,-0.039487004,0.06434748,-0.09788162,-0.014248233,0.15079507,-0.09154729,0.08317917,0.08175295,-0.09810104,-0.018370848,-0.05958925,0.10608983,-0.10105446,0.06729935,-0.06501494,-0.12221725,-0.21545812,-0.006681752,-0.082998745,-0.009002164,0.13311347,0.12801,0.038546957,0.0469665,-0.025324516,0.08037911,0.21737592,0.049646094,-0.05266001,0.029128619,-0.042002063,0.06858026,-0.08482649,-0.2258479,-0.04251021,-0.10942791,-0.061930127,0.11262946,0.010221237,-0.024842992,-0.07631005,0.000982666,0.042021874,0.098670244,0.13822712,-0.04444819,-0.009538586,-0.03890981,-0.000334643,-0.06717457,0.0488466,0.007345593,-0.0676822,-0.041016813,-0.13516715,-0.067908086,0.04338287,0.062440254,0.009016284,0.22508678,-0.18051033,0.084715165,-0.0709042,0.17103821,-0.019670751,-0.03823243,-0.19601129,0.09972563,0.07398258,-0.054740984,0.03185721,0.13641465,-0.000955779,-0.032108534,-0.02346538,-0.039799366,-0.007360223,-0.1091601,0.049479913,0.2682353,0.11750865,0.12615062,0.1947957,0.0939971,0.017946092,-0.12719128,-0.096175574,-0.12806393,-0.038285,0.07964362,0.103042625,0.043893464,-0.09734905,-0.09382632,0.02561941,0.16045846,-0.005515025,-0.09357486,0.19038364,0.074715704,-0.27473265,-0.11719538,-0.042399596,-0.002488755,-0.023439214,0.06104149,-0.10222949,0.030844968,0.20219599,0.106414266,-0.029055871,-0.11927038,0.11768433,0.07004399,-0.025667544,2,1654.541836
yjbB,P0AF43,4,0.060773481,38.34790055,59466.2837,7.714172363,0.989181982,0.432412523,543,65501.8908,591,5.87612915,8.287,0,0,4,0.061759729,0.370165746,0.186003683,0.368324125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.086482505,0.197836396,1.542834473,11893.25674,7.66958011,1.6574,0.074033149,0.037200737,0.073664825,108.6,0.04361149,-0.06300457,0.22439872,-0.1128494,-0.00411831,-0.016694078,0.22177097,0.11754925,-0.05260897,-0.059167843,-0.04869796,0.21381988,-0.05396459,-0.040312797,-0.34171477,-0.059327718,-0.06340031,0.11908978,0.003238367,-0.18746454,0.13954441,-0.007746957,-0.1880639,0.27129933,-0.28551385,-0.029134348,0.22093882,-0.35474548,-0.30145916,-0.012382108,-0.13955797,-0.030257626,-0.03779962,0.17538606,0.22691461,0.23472358,0.001545279,-0.16573697,0.16971198,0.5000719,-0.07740872,-0.06388916,0.065182336,-0.10104971,-0.061634414,-0.37393364,-0.19401045,-0.16484462,0.024818616,0.012730032,0.14925931,0.08379314,0.0362752,0.1260612,0.011045625,-0.03724582,0.55061615,0.08156835,-0.08428703,0.051818006,-0.12010046,0.23374867,-0.06549956,-0.08511935,-0.048100084,-0.27320805,-0.28597388,-0.16026926,-0.076024294,0.035566933,0.20024465,0.048572946,0.33662868,0.054968853,-0.010586639,0.10872288,0.19702348,-0.020735612,-0.2534612,-0.28146476,0.00746051,-0.17428745,-0.1964694,0.1380067,0.05465253,0.020072522,0.0572061,-0.08885657,0.025749967,0.22861142,0.009402058,0.005330058,0.3454373,0.24555114,-0.076331325,0.044486012,0.15510936,0.17494255,-0.070499234,-0.38463753,0.21594197,-0.1499053,-0.22262242,0.28689703,0.08752334,-0.002850524,-0.1661292,-0.036723934,0.199653,-0.03547526,-0.18374428,0.18795021,0.17376892,-0.30327442,-0.2003783,0.17642401,-0.024111766,-0.19306451,0.23266391,-0.024800345,0.22997434,0.001962392,0.0974167,0.12986566,-0.11895624,0.2957614,0.051260334,-0.13090797,2,1190.627274
ltaE,P75823,14,0.066066066,29.55885886,36494.2942,5.80670166,0.997715572,-0.127927928,333,66742.27426,610.2857143,6.099836077,6.906,0,0,2,0.06343633,0.288288288,0.189189189,0.345345345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.008528529,0.066514371,0.387113444,2432.952947,1.970590591,0.4604,0.019219219,0.012612613,0.023023023,22.2,0.23375939,-0.024816282,0.22329153,0.27865523,-0.044542048,0.04558058,0.01731549,0.16899332,-0.11344962,0.06606629,0.17387122,-0.18341501,-0.17091914,0.08740875,0.14218384,-0.1327917,-0.015897568,0.30866686,-0.08055383,0.14335802,0.020012472,0.11377571,-0.11243376,-0.058526583,-0.007027902,-0.32431242,0.16445057,0.07702799,-0.14468122,-0.3311795,-0.041142046,-0.10044147,-0.17329511,-0.013724842,-0.005838735,0.11662488,0.3653737,0.011182863,0.19872949,0.25839815,0.021863602,0.028249241,-0.07312168,-0.091819935,0.21803729,-0.082081884,-0.3537559,0.038129613,0.019393804,0.002339179,0.28685543,-0.24716544,0.18533842,-0.12858647,0.10542764,-0.13363744,0.16544418,0.23510472,0.06205312,0.20954634,0.066511296,0.12812968,-0.0801383,0.04872136,0.21296115,-0.111367024,0.09496312,-0.25648624,-0.25596935,0.12919706,-0.001209259,-0.03760568,0.41998562,-0.28314278,-0.096786,-0.24087413,0.34268057,0.001707081,-0.20128126,0.019861339,0.26849824,0.07373491,-0.14687735,-0.11381851,0.2235222,0.19662924,-0.35403815,-0.15928456,0.2521223,-0.028779475,-0.3072659,0.053035717,0.3183779,0.17451946,-0.022831623,0.33309138,0.28316286,-0.015336321,-0.14762631,-0.17220618,-0.23112802,0.08308838,0.21950467,-0.15816842,0.15199581,-0.2147166,-0.020792214,-0.09998876,0.17676254,0.1675336,0.003860618,0.21349439,0.29904538,-0.36695674,-0.14664574,0.02846421,-0.19736883,0.06272174,0.044652876,0.04171144,-0.15955651,0.21132004,0.07385351,-0.13913022,0.048765164,0.26327276,0.13164213,-0.024424387,2,465.6908216
ycaO,P75838,3,0.119453925,40.21624573,65650.771,4.379333496,0.998951287,-0.195733788,586,53665.04387,479,5.841166178,3.924,0,0,2,0.066109951,0.324232082,0.218430034,0.315699659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,-0.048933447,0.249737822,1.094833374,16412.69275,10.05406143,0.981,0.08105802,0.054607509,0.078924915,146.5,0.15627055,-0.05332842,0.42938843,0.05073224,0.0668542,-0.042877674,0.023863295,0.17480956,0.044132654,-0.06250774,-0.031776015,-0.016522953,-0.10830164,-0.0750895,-0.034669235,-0.020121664,0.055123627,0.11424324,0.02337589,-0.01623894,0.03534566,-0.008451251,-0.051444665,0.006228706,-0.09993771,-0.029749788,0.042277753,-0.23740153,-0.10900146,-0.2623799,-0.10333433,-0.06462158,-0.13371879,0.16320468,0.080679975,0.05050461,0.19550593,-0.10135997,0.054155447,0.2595466,0.19904338,0.02103124,0.10676816,-0.056032404,0.002954521,-0.30684894,-0.15946756,-0.052059058,0.06047664,-0.06592847,0.11351908,0.2652163,-0.13026172,0.06371232,-0.14955136,0.2523082,0.29032376,0.28175813,-0.07131231,-0.13620679,0.015685579,0.24176532,-0.014003786,-0.088575155,-0.00389179,-0.000105898,-0.024558274,-0.30754185,0.070118375,-0.17670773,0.23757268,-0.025881903,0.4248858,-0.18986815,-0.002492676,-0.1597174,0.019289356,0.21213454,0.03491443,-0.18932772,0.008261626,-0.019315964,-0.30319312,0.11330784,0.26949412,-0.06517745,0.020934567,-0.050498415,0.03994653,0.12910387,-0.026516138,0.122901924,0.3788614,0.2269772,0.17983589,0.032194007,-0.004983882,0.08452595,-0.21930145,-0.10857857,0.13208525,-0.3352796,-0.15839262,0.2769962,0.037651252,0.004491682,-0.13184471,0.12851149,0.033011843,0.024834642,0.07981143,0.35235694,0.20547524,-0.18785705,-0.1814068,-0.15923238,0.11150534,0.005265465,0.12353374,-0.26957485,0.12168063,-0.023507759,0.086551055,0.023363028,-0.20088509,0.25291905,-0.009451686,-0.13448139,2,74.79012926
livF,P22731,6,0.063291139,27.30548523,26309.9361,5.603088379,0.997343463,-0.096202532,237,51474.33857,470.8333333,5.590820313,6.329,0,0,2,0.06619469,0.312236287,0.194092827,0.316455696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.013743219,0.142477638,0.800441197,3758.5623,3.900783605,0.904142857,0.044605184,0.027727547,0.045207957,33.85714286,0.25962222,-0.1506629,0.43172345,0.11201778,0.20729877,-0.27985573,0.06640654,0.114452064,-0.28617728,-0.04626362,0.33594513,-0.058368683,-0.27587602,-0.006455536,-0.059765045,-0.18858072,-0.10210625,0.24754733,-0.05966861,-0.10635569,0.015958928,0.017424053,-0.00329759,0.31976014,-0.08398762,-0.2420267,0.4047312,-0.2137806,-0.24814601,-0.24090435,-0.17624666,-0.18718268,-0.27516067,-0.015657933,0.20187046,0.17117026,0.1541117,-0.012549948,0.16409838,0.31201497,-0.012878936,-0.1691712,0.10428528,-0.20510606,0.1580808,-0.21502553,-0.04707061,-0.07778729,-0.021316448,0.13350143,0.31927347,-0.38002074,0.23613921,-0.1844761,-0.004577044,-0.14084527,0.35830382,0.22604422,-0.11892035,0.048526295,0.22501203,0.24875675,-0.059123415,-0.09053942,0.22926374,-0.25070003,-0.22370058,-0.21489498,-0.20307356,0.1288661,0.022562385,-0.0125098,0.44033352,-0.1431771,-0.19919261,-0.045156963,0.17164956,0.087938264,-0.16006517,-0.04191507,0.13061675,0.07242897,-0.36863834,-0.035207774,0.1451111,0.13101311,-0.24694899,-0.16890661,0.15113215,0.018107189,-0.07053525,0.011658016,0.4512589,0.43120936,0.07182158,0.14200486,0.2984574,0.18141858,-0.2526702,-0.30294678,-0.15829171,-0.052130643,-0.031906605,0.06630226,0.20320402,-0.08809509,-0.050304707,-0.20706339,0.1415549,0.008538431,-0.06381894,0.1603011,0.21263349,-0.38953558,-0.17484115,-0.07784154,-0.2851655,0.09120339,0.2640532,-0.02781234,0.013379861,0.21683462,0.37807634,-0.1288657,0.2199212,0.3721308,0.22406921,-0.18449703,2,inf
ycjW,P77615,9,0.060240964,58.62198795,36133.7499,5.737365723,1.000893779,-0.088855422,332,37982.85548,340.2222222,6.13619656,8.132,0,0,3,0.066296538,0.301204819,0.222891566,0.268072289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.008885542,0.100089378,0.573736572,3613.37499,5.862198795,0.8132,0.030120482,0.022289157,0.026807229,33.2,-0.2961162,0.4694372,0.25812453,0.07169455,-0.23832823,-0.06630493,0.3181781,-0.03697906,-0.17743333,-0.063785516,0.16545413,-0.3340583,0.03447995,-0.2696375,0.028257007,-0.1212112,0.17584851,0.23997837,-0.17292984,-0.33994257,0.15945655,0.10792603,-0.080043286,0.2615672,0.12004553,-0.098830484,0.055308644,-0.39087602,-0.19573113,-0.2078384,-0.3474655,0.19955932,0.027223926,0.1980541,-0.13017017,0.286584,0.1952954,0.16039604,0.38859344,0.38780183,0.3834273,0.15633702,0.22212376,-0.13379604,0.29477447,-0.07158695,-0.08551129,-0.20403557,-0.07402157,0.048715975,0.3540993,-0.4127065,-0.099554606,0.013103695,0.28604448,0.046332896,-0.07778566,0.1633053,-0.28860715,-0.75138676,-0.18588425,0.2225595,-0.16294174,-0.115780696,-0.25758147,-0.15975995,-0.020731214,-0.056260895,0.06902304,0.027580377,0.070065625,0.19399466,-0.04040526,-0.06528773,0.13635296,-0.12581033,0.28892025,0.09189984,-0.16551538,-0.18457758,0.08385505,0.02496304,-0.3539346,-0.081817865,0.27135903,-0.0717795,-0.06557353,0.1519989,-0.31665444,0.113597125,0.25510383,0.046410743,0.34616265,0.18719743,0.10460983,0.34182426,0.12057583,0.031270474,-0.3160385,-0.39298368,-0.13099928,-0.29542688,0.18577263,0.12466475,0.24681054,0.08326956,0.10353787,0.10457415,0.15640435,-0.25259203,-0.09451107,-0.013928699,0.41030896,-0.16450883,-0.31321824,0.13885365,-0.3453369,0.10039206,-0.17059763,-0.47768733,0.06875119,-0.14127146,0.2994069,0.19365309,0.17339616,0.14059475,0.002301661,0.14317597,2,inf
rfaJ,P27129,11,0.118343195,29.75505917,39039.8599,8.931213379,0.994342958,-0.152366864,338,42733.3238,381.8181818,6.529568759,7.396,0,0,3,0.066666667,0.381656805,0.174556213,0.24556213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.012697239,0.082861913,0.744267782,3253.321658,2.479588264,0.616333333,0.031804734,0.014546351,0.020463511,28.16666667,-0.10392949,-0.1674997,0.6045788,0.025271175,-0.01283063,-0.15636127,0.2873487,0.3139427,0.22846806,-0.014810047,-0.29217678,-0.26943067,0.050436918,0.006603155,-0.06561122,0.005272254,0.10545062,0.004264692,0.25067967,-0.17116632,0.16328453,-0.030210253,0.15685456,0.09829806,-0.30037066,-0.15471973,0.13909209,-0.2687683,0.03187567,-0.46877256,-0.17103316,-0.06774753,0.22992457,0.050427467,0.325984,0.14404008,-0.09172469,0.07797738,0.27039117,0.36526528,0.08542823,-0.021269625,-0.003505661,0.07167567,0.023943787,-0.5977223,-0.14198914,0.38949907,-0.21716307,0.0561471,0.20475242,0.3016963,0.019862046,0.14449666,-0.014126048,0.043408286,0.31818965,0.1909594,-0.053431198,-0.47589165,-0.23329929,0.19995467,-0.0973153,0.12592973,-0.2084129,0.110545,0.056403268,-0.054898288,0.07072472,-0.30004033,0.27880877,-0.079903744,0.32321563,-0.270069,0.051792867,-0.103907704,0.2077284,0.30896145,0.09144262,-0.21697925,-0.074775726,0.017835258,-0.15390629,-0.027550971,0.16009709,-0.022424338,0.23221554,-0.014805528,-0.03731373,-0.13679513,0.13114336,0.32107216,0.60234976,0.31763294,0.2183593,0.03951109,0.1407855,-0.107417956,-0.36389992,-0.13822119,0.20686103,-0.3366357,-0.013513112,0.737179,-0.05842696,-0.2014146,-0.07163251,0.23583592,0.14331546,-0.13448696,-0.048222102,0.55412227,0.5184056,-0.45961407,-0.229943,-0.10712234,0.29845446,-0.2189443,-0.113414206,-0.29342705,0.3414939,-0.09270268,-0.005063456,-0.03317679,-0.38815734,0.17785183,-0.21464153,-0.2219571,2,inf
ygaP,P55734,3,0.063218391,41.04195402,18638.5057,6.409484863,0.994966595,0.23908046,174,58066.56653,537.3333333,5.964172363,16.09,0,0,2,0.066997519,0.327586207,0.224137931,0.33908046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.059770115,0.248741649,1.602371216,4659.626425,10.26048851,4.0225,0.081896552,0.056034483,0.084770115,43.5,0.07240923,0.003532177,0.34737763,0.21748604,-0.006423402,0.16582094,0.24952134,0.2590482,0.031054094,-0.09334121,-0.039488167,-0.25008905,-0.05634501,-0.14248154,0.10870301,-0.015273567,0.15299994,0.09872957,-0.17477131,0.037781417,-0.16110025,-0.00650545,0.015194891,-0.13015272,0.1273326,-0.4239733,-0.002655848,-0.053753935,-0.05851966,-0.16282307,-0.24486913,-0.049615,-0.07425569,0.34612235,0.20918572,0.10816801,0.033111185,-0.024099063,-0.080467165,0.18386805,0.37827408,0.14218768,0.1266217,0.1390911,0.22386433,-0.04219869,-0.538387,-0.00988051,-0.29738396,0.1268328,0.19664168,-0.020933045,-0.12621,-0.30292976,0.046585184,-0.04489814,0.15258496,0.051442496,-0.2255324,0.041971058,-0.023908392,0.102603324,-0.11469354,0.15388726,0.16942166,-0.21810372,0.25837627,-0.29664096,-0.10705423,0.043592878,0.0839711,0.095490165,0.27019697,-0.20130351,0.25460157,-0.09723726,-0.09907183,0.03038077,0.049005855,-0.050217364,0.09260205,0.09475264,-0.25050423,-0.175322,0.10119188,0.14806141,-0.15566283,-0.18515582,0.02678012,-0.020032775,-0.25804576,0.16248246,0.3034793,0.035072844,0.32283598,0.18434085,0.20661215,0.19072928,-0.34614637,0.007021062,-0.15875773,-0.23491573,0.2621216,-0.023342142,0.22718948,-0.07295874,-0.017245982,0.02308899,0.2515862,0.057110585,-0.061501544,-0.011866042,0.08692421,-0.34501404,0.06916893,-0.1237865,-0.17271005,0.16345656,-0.15678263,-0.19246443,-0.10423467,0.11245718,-0.03300145,0.3004514,-0.13238196,0.041412577,-0.23241071,-0.19887361,2,inf
