Frame ID	Name	Stoichiometry	Modified form	Comments
1-PFK	1-phosphofructokinase	((1-PFK-MONOMER, 2))	
2OXOGLUTARATEDEH-CPLX	2-oxoglutarate dehydrogenase complex	((E1O, 1) (E2O, 1) (E3-CPLX, 1))	
3-ISOPROPYLMALDEHYDROG-CPLX	3-isopropylmalate dehydrogenase	((3-ISOPROPYLMALDEHYDROG-MONOMER, 2))	
3-ISOPROPYLMALISOM-CPLX	isopropylmalate isomerase	((LEUC-MONOMER, 1) (LEUD-MONOMER, 1))	
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	3-methyl-2-oxobutanoate hydroxymethyltransferase	((3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER, 10))	
3-OXOACYL-ACP-SYNTHII-CPLX	KASII	((3-OXOACYL-ACP-SYNTHII-MONOMER, 2))	
6PFK-1-CPX	6-phosphofructokinase I	((6PFK-1-MONOMER, 4))	
6PFK-2-CPX	6-phosphofructokinase II	((6PFK-2-MONOMER, 2))	
6PGLUCONDEHYDROG-CPLX	6-phosphogluconate dehydrogenase (decarboxylating)	((6PGLUCONDEHYDROG-MONOMER, 2))	
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	7-&alpha;-hydroxysteroid dehydrogenase	((7-ALPHA-HYDROXYSTEROID-DEH-MONOMER, 4))	
7KAPSYN-CPLX	8-amino-7-oxononanoate synthase	((7KAPSYN-MONOMER, 2))	
ABC-10-CPLX	ferric enterobactin ABC transporter	((FEPC-MONOMER, 2) (FEPD-MONOMER, 1) (FEPG-MONOMER, 1) (FEPB-MONOMER, 1))	
ABC-11-CPLX	iron (III) hydroxamate ABC transporter	((FHUC-MONOMER, 2) (FHUB-MONOMER, 2) (FHUD-MONOMER, 1))	
ABC-12-CPLX	glutamine ABC transporter	((GLNQ-MONOMER, 2) (GLNP-MONOMER, 2) (GLNH-MONOMER, 1))	
ABC-13-CPLX	glutamate / aspartate ABC transporter	((G6359-MONOMER, 1) (GLTK-MONOMER, 1) (GLTJ-MONOMER, 1) (GLTL-MONOMER, 1))	
ABC-14-CPLX	histidine ABC transporter	((HISP-MONOMER, 2) (HISM-MONOMER, 1) (HISQ-MONOMER, 1) (HISJ-MONOMER, 1))	
ABC-15-CPLX	branched chain amino acid ABC transporter	((LIVF-MONOMER, 1) (LIVG-MONOMER, 1) (LIVH-MONOMER, 1) (LIVM-MONOMER, 1) (LIVJ-MONOMER, 1))	
ABC-16-CPLX	maltose ABC transporter	((MALK-MONOMER, 2) (MALF-MONOMER, 1) (MALG-MONOMER, 1) (MALE-MONOMER, 1))	
ABC-18-CPLX	methyl-&beta;-D-galactoside / galactose ABC transporter	((MGLA-MONOMER, 2) (MGLC-MONOMER, 2) (MGLB-MONOMER, 1))	
ABC-19-CPLX	molybdate ABC transporter	((MODC-MONOMER, 2) (MODB-MONOMER, 2) (MODA-MONOMER, 1))	
ABC-2-CPLX	arabinose ABC transporter	((ARAG-MONOMER, 2) (ARAH-MONOMER, 2) (ARAF-MONOMER, 1))	
ABC-20-CPLX	nickel ABC transporter	((NIKD-MONOMER, 1) (NIKE-MONOMER, 1) (NIKB-MONOMER, 1) (NIKC-MONOMER, 1) (NIKA-MONOMER, 1))	
ABC-21-CPLX	YadG/YadH ABC transporter	((YADG-MONOMER, 2) (YADH-MONOMER, 2))	
ABC-22-CPLX	peptide ABC transporter OppABCDF	((OPPC-MONOMER, 1) (OPPD-MONOMER, 1) (OPPF-MONOMER, 1) (OPPB-MONOMER, 1) (OPPA-MONOMER, 1))	
ABC-23-CPLX	phosphonate ABC transporter	((PHNC-MONOMER, 2) (PHNE-MONOMER, 2) (PHND-MONOMER, 1))	
ABC-24-CPLX	putrescine / spermidine ABC transporter	((POTA-MONOMER, 2) (POTB-MONOMER, 1) (POTC-MONOMER, 1) (POTD-MONOMER, 1))	
ABC-25-CPLX	putrescine ABC transporter	((POTG-MONOMER, 2) (POTH-MONOMER, 1) (POTI-MONOMER, 1) (POTF-MONOMER, 1))	
