"Object ID"	"Display Name"	"Synonyms"
"G6912-MONOMER"	"MenI"	"[MenI, YdiI]"
"NAPHTHOATE-SYN-MONOMER"	"MenB"	"[MenB]"
"DXPREDISOM-MONOMER"	"YaeM"	"[YaeM, IspC, Dxr]"
"DXS-MONOMER"	"YajP"	"[YajP, Dxs]"
"EG11081-MONOMER"	"YaaE"	"[YaaE, LytB, IspH]"
"1-PFK-MONOMER"	"Fpk"	"[Fpk, FruF, FruK]"
"G7641-MONOMER"	"RsmI"	"[RsmI, YraL, ribosomal RNA small subunit methyltransferase I]"
"EG12366-MONOMER"	"YggJ"	"[YggJ, RsmE]"
"EG11085-MONOMER"	"RsmH"	"[RsmH, YabC, MraW]"
"GPMA-MONOMER"	"Gpm"	"[Gpm, GpmA]"
"G7490-MONOMER"	"YgeX"	"[YgeX]"
"ENTA-MONOMER"	"EntA"	"[EntA]"
"ENTE-MONOMER"	"EntE"	"[EntE]"
"EG12279-MONOMER"	"YiaK"	"[YiaK]"
"TRANS-CPLX-203"	"YiaMNO binding protein-dependent secondary (TRAP) transporter"	"[YiaMNO binding protein-dependent secondary (TRAP) transporter]"
"AKBLIG-MONOMER"	"Kbl"	"[Kbl]"
"EG11870-MONOMER"	"YiiM"	"[YiiM, protein involved in base analog detoxification]"
"EG11816-MONOMER"	"YgbB"	"[YgbB, IspF]"
"G7423-MONOMER"	"YgbP"	"[YgbP, IspD, 4-diphosphocytidyl-2C-methyl-D-erythritol synthase]"
"MHPCHYDROL-MONOMER"	"MhpC"	"[MhpC]"
"G6721-MONOMER"	"YdbZ"	"[YdbZ, PaaY]"
"MHPDHYDROL-MONOMER"	"MhpS"	"[MhpS, MhpD]"
"G7158-MONOMER"	"YfaU"	"[YfaU]"
"G6198-MONOMER"	"YahS"	"[YahS, YzzD, PrpC]"
"G6196-MONOMER"	"YahQ"	"[YahQ, PrpB]"
"2OXOGLUTARATEDEH-CPLX"	"OGDH"	"[OGDH]"
"MEND-MONOMER"	"MenD"	"[MenD]"
"G7845-MONOMER"	"RlmB"	"[RlmB, YjfH]"
"EG11254-MONOMER"	"YbeA"	"[YbeA, RlmH]"
"G6501-MONOMER"	"YccW"	"[YccW, RlmI]"
"DIOHBUTANONEPSYN-MONOMER"	"LuxH"	"[LuxH, HtrP, RibB]"
